From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
1154,2302,0,BB39W,BB47NW,,L1,132.0,132.0,Non-transformer branch,-176.503,90.77187510645224,Winter
1154,2302,0,BB39W,BB47NW,,L1,132.0,132.0,Non-transformer branch,-172.845,88.89064068471775,Intermediate Cool
1154,2302,0,BB39W,BB47NW,,L1,132.0,132.0,Non-transformer branch,-163.7,84.18755463038153,Intermediate Warm
1154,2302,0,BB39W,BB47NW,,L1,132.0,132.0,Non-transformer branch,-157.527,81.01290725876672,Summer
1154,5893,0,BB39W,82BB22N,,L1,132.0,132.0,Non-transformer branch,-90.77220157850364,176.503,Winter
1154,5893,0,BB39W,82BB22N,,L1,132.0,132.0,Non-transformer branch,-88.89096039068154,172.845,Intermediate Cool
1154,5893,0,BB39W,82BB22N,,L1,132.0,132.0,Non-transformer branch,-84.18785742112625,163.7,Intermediate Warm
1154,5893,0,BB39W,82BB22N,,L1,132.0,132.0,Non-transformer branch,-81.01319863150736,157.527,Summer
1155,2301,0,BB39E,BB47SE,,L1,132.0,132.0,Non-transformer branch,-145.72900694181996,144.32758966426402,Winter
1155,2301,0,BB39E,BB47SE,,L1,132.0,132.0,Non-transformer branch,-142.70879364576734,141.33642054537157,Intermediate Cool
1155,2301,0,BB39E,BB47SE,,L1,132.0,132.0,Non-transformer branch,-135.15826040563576,133.8584977481404,Intermediate Warm
1155,2301,0,BB39E,BB47SE,,L1,132.0,132.0,Non-transformer branch,-130.06154726278916,128.81079764673981,Summer
1155,5894,0,BB39E,82BB22S,,L1,132.0,132.0,Non-transformer branch,-144.32758966426402,145.72866048435424,Winter
1155,5894,0,BB39E,82BB22S,,L1,132.0,132.0,Non-transformer branch,-141.33642054537157,142.70845436858417,Intermediate Cool
1155,5894,0,BB39E,82BB22S,,L1,132.0,132.0,Non-transformer branch,-133.8584977481404,135.15793907915892,Intermediate Warm
1155,5894,0,BB39E,82BB22S,,L1,132.0,132.0,Non-transformer branch,-128.81079764673981,130.06123805328448,Summer
2278,2286,0,STTN3T,JESU3T,,L1,33.0,33.0,Non-transformer branch,-13.237799999999998,13.237799999999998,Winter
2278,2286,0,STTN3T,JESU3T,,L1,33.0,33.0,Non-transformer branch,-12.963299999999998,12.963299999999998,Intermediate Cool
2278,2286,0,STTN3T,JESU3T,,L1,33.0,33.0,Non-transformer branch,-12.277499999999998,12.277499999999998,Intermediate Warm
2278,2286,0,STTN3T,JESU3T,,L1,33.0,33.0,Non-transformer branch,-11.814599999999999,11.814599999999999,Summer
2278,502405,0,STTN3T,EAST3_#1L5,,L1,33.0,33.0,Non-transformer branch,-44.126,21.78389013940019,Winter
2278,502405,0,STTN3T,EAST3_#1L5,,L1,33.0,33.0,Non-transformer branch,-43.211,21.33217778211534,Intermediate Cool
2278,502405,0,STTN3T,EAST3_#1L5,,L1,33.0,33.0,Non-transformer branch,-40.925,20.203637400964347,Intermediate Warm
2278,502405,0,STTN3T,EAST3_#1L5,,L1,33.0,33.0,Non-transformer branch,-39.382,19.441897327422794,Summer
2286,5608,0,JESU3T,51L6765P1,,L1,33.0,33.0,Non-transformer branch,-30.637,30.637,Winter
2286,5608,0,JESU3T,51L6765P1,,L1,33.0,33.0,Non-transformer branch,-30.294,30.294,Intermediate Cool
2286,5608,0,JESU3T,51L6765P1,,L1,33.0,33.0,Non-transformer branch,-29.265,29.265,Intermediate Warm
2286,5608,0,JESU3T,51L6765P1,,L1,33.0,33.0,Non-transformer branch,-28.636,28.636,Summer
2286,501806,0,JESU3T,BRHI3_#2L5,,L1,33.0,33.0,Non-transformer branch,-44.126,16.074728905025655,Winter
2286,501806,0,JESU3T,BRHI3_#2L5,,L1,33.0,33.0,Non-transformer branch,-43.211,15.741402137403425,Intermediate Cool
2286,501806,0,JESU3T,BRHI3_#2L5,,L1,33.0,33.0,Non-transformer branch,-40.925,14.908631655671822,Intermediate Warm
2286,501806,0,JESU3T,BRHI3_#2L5,,L1,33.0,33.0,Non-transformer branch,-39.382,14.346529795080457,Summer
2301,507706,0,BB47SE,SULG1_205,,L1,132.0,132.0,Non-transformer branch,-84.99941670605847,145.866,Winter
2301,507706,0,BB47SE,SULG1_205,,L1,132.0,132.0,Non-transformer branch,-83.66731281214179,143.58,Intermediate Cool
2301,507706,0,BB47SE,SULG1_205,,L1,132.0,132.0,Non-transformer branch,-80.4699138331738,138.093,Intermediate Warm
2301,507706,0,BB47SE,SULG1_205,,L1,132.0,132.0,Non-transformer branch,-78.33831451386183,134.435,Summer
3824,505701,0,BROA3_T1,BROA3_1H3,,L1,33.0,33.0,Non-transformer branch,-6.927599999999999,6.927599999999999,Winter
3824,505701,0,BROA3_T1,BROA3_1H3,,L1,33.0,33.0,Non-transformer branch,-6.6018,6.6018,Intermediate Cool
3824,505701,0,BROA3_T1,BROA3_1H3,,L1,33.0,33.0,Non-transformer branch,-6.6018,6.6018,Intermediate Warm
3824,505701,0,BROA3_T1,BROA3_1H3,,L1,33.0,33.0,Non-transformer branch,-6.378900000000001,6.378900000000001,Summer
3843,501805,0,COUR3,BRHI3_#3L5,,L1,33.0,33.0,Non-transformer branch,-10.667351110594296,5.7101999999999995,Winter
3843,501805,0,COUR3,BRHI3_#3L5,,L1,33.0,33.0,Non-transformer branch,-9.86648714416374,5.2815,Intermediate Cool
