From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Node Number,Node Name,Sensitivity Factor MW
1154,2302,0,BB39W,BB47NW,,L1,1004,WOOD5,0.198
1154,2302,0,BB39W,BB47NW,,L1,1005,WOOD5G,0.198
1154,2302,0,BB39W,BB47NW,,L1,1154,BB39W,-0.5927
1154,2302,0,BB39W,BB47NW,,L1,1155,BB39E,0.0337
1154,2302,0,BB39W,BB47NW,,L1,2274,LCDL3G,-0.1993
1154,2302,0,BB39W,BB47NW,,L1,2278,STTN3T,-0.1476
1154,2302,0,BB39W,BB47NW,,L1,2279,STTN3G,-0.1474
1154,2302,0,BB39W,BB47NW,,L1,2281,82VV6N,-0.2505
1154,2302,0,BB39W,BB47NW,,L1,2286,JESU3T,-0.1354
1154,2302,0,BB39W,BB47NW,,L1,2287,JESU3G,-0.1354
1154,2302,0,BB39W,BB47NW,,L1,2289,LOUG3G,-0.2059
1154,2302,0,BB39W,BB47NW,,L1,2294,DERW3G,-0.1476
1154,2302,0,BB39W,BB47NW,,L1,2296,82VV7W,-0.2487
1154,2302,0,BB39W,BB47NW,,L1,2301,BB47SE,0.0361
1154,2302,0,BB39W,BB47NW,,L1,2302,BB47NW,0.3366
1154,2302,0,BB39W,BB47NW,,L1,2315,GRAT5,0.0953
1154,2302,0,BB39W,BB47NW,,L1,2336,SPVL31,0.1988
1154,2302,0,BB39W,BB47NW,,L1,2337,SPVL32,0.1988
1154,2302,0,BB39W,BB47NW,,L1,2346,CARE5,0.1368
1154,2302,0,BB39W,BB47NW,,L1,2347,CARE5G,0.1368
1154,2302,0,BB39W,BB47NW,,L1,2356,CARS5AG,0.1122
1154,2302,0,BB39W,BB47NW,,L1,2365,TROW5,0.1365
1154,2302,0,BB39W,BB47NW,,L1,2368,ACER5G,0.1359
1154,2302,0,BB39W,BB47NW,,L1,2369,LWAY5G,0.1332
1154,2302,0,BB39W,BB47NW,,L1,2662,WPRW5,0.1197
1154,2302,0,BB39W,BB47NW,,L1,2663,WWTW5G2,0.1214
1154,2302,0,BB39W,BB47NW,,L1,2664,WWTW5G1,0.1214
1154,2302,0,BB39W,BB47NW,,L1,2665,ROVE5,0.1214
1154,2302,0,BB39W,BB47NW,,L1,2674,ROVE5G,0.1214
1154,2302,0,BB39W,BB47NW,,L1,2750,CARC1_GT1A,0.166
1154,2302,0,BB39W,BB47NW,,L1,2751,CARC1_GT2B,0.166
1154,2302,0,BB39W,BB47NW,,L1,2755,CARC5_GT1A,0.1661
1154,2302,0,BB39W,BB47NW,,L1,2756,CARC5_GT2B,0.1661
1154,2302,0,BB39W,BB47NW,,L1,2757,RODM5,0.1662
1154,2302,0,BB39W,BB47NW,,L1,3813,ABTC3,-0.2071
1154,2302,0,BB39W,BB47NW,,L1,3814,ABTC3G,-0.2071
1154,2302,0,BB39W,BB47NW,,L1,3816,BOVE5,-0.1933
1154,2302,0,BB39W,BB47NW,,L1,3817,MFRM5G,-0.1903
1154,2302,0,BB39W,BB47NW,,L1,3818,BOVE5G,-0.1933
1154,2302,0,BB39W,BB47NW,,L1,3821,ROSD3G,-0.2027
1154,2302,0,BB39W,BB47NW,,L1,3824,BROA3_T1,-0.1084
1154,2302,0,BB39W,BB47NW,,L1,3825,BROA5,-0.1086
1154,2302,0,BB39W,BB47NW,,L1,3826,BDKS5G,-0.1081
1154,2302,0,BB39W,BB47NW,,L1,3827,BDKB3G,-0.108
1154,2302,0,BB39W,BB47NW,,L1,3829,BROA5G,-0.1086
1154,2302,0,BB39W,BB47NW,,L1,3831,BRHI5,-0.1095
1154,2302,0,BB39W,BB47NW,,L1,3832,BRHI5G,-0.1095
1154,2302,0,BB39W,BB47NW,,L1,3840,COUR5,-0.109
1154,2302,0,BB39W,BB47NW,,L1,3841,COUR5G,-0.109
1154,2302,0,BB39W,BB47NW,,L1,3843,COUR3,-0.1091
1154,2302,0,BB39W,BB47NW,,L1,3846,COWB5,-0.1661
1154,2302,0,BB39W,BB47NW,,L1,3847,COWB5G,-0.1661
1154,2302,0,BB39W,BB47NW,,L1,3851,GRNF3G,-0.1464
1154,2302,0,BB39W,BB47NW,,L1,3855,EAST5,-0.2074
1154,2302,0,BB39W,BB47NW,,L1,3858,MEGG5,-0.1095
1154,2302,0,BB39W,BB47NW,,L1,3861,RICH5,-0.1089
1154,2302,0,BB39W,BB47NW,,L1,3864,ROUN5,-0.109
1154,2302,0,BB39W,BB47NW,,L1,3867,SHIP5,-0.109
1154,2302,0,BB39W,BB47NW,,L1,3868,SHIP5G,-0.109
1154,2302,0,BB39W,BB47NW,,L1,3870,SHIP3,-0.1091
1154,2302,0,BB39W,BB47NW,,L1,3876,STPA5,-0.1087
1154,2302,0,BB39W,BB47NW,,L1,3877,51L7662P1,0.1954
1154,2302,0,BB39W,BB47NW,,L1,3885,BADO5T,-0.1095
1154,2302,0,BB39W,BB47NW,,L1,3894,TRIN5,-0.1087
1154,2302,0,BB39W,BB47NW,,L1,3900,WINS5,-0.1095
1154,2302,0,BB39W,BB47NW,,L1,3910,WPRW91,0.1197
1154,2302,0,BB39W,BB47NW,,L1,3911,WPRW92,0.1197
1154,2302,0,BB39W,BB47NW,,L1,3912,WPRW93,0.1197
1154,2302,0,BB39W,BB47NW,,L1,3913,WPRW84,0.1197
1154,2302,0,BB39W,BB47NW,,L1,3924,PARK5,0.1279
1154,2302,0,BB39W,BB47NW,,L1,3925,PARK5G,0.1279
1154,2302,0,BB39W,BB47NW,,L1,3927,PARK31,0.1277
1154,2302,0,BB39W,BB47NW,,L1,3930,PARK32,0.1277
1154,2302,0,BB39W,BB47NW,,L1,3933,SAND5,0.1975
1154,2302,0,BB39W,BB47NW,,L1,3934,SAND5G,0.1975
1154,2302,0,BB39W,BB47NW,,L1,3936,SAND31,0.1974
1154,2302,0,BB39W,BB47NW,,L1,3939,SAND32,0.1974
1154,2302,0,BB39W,BB47NW,,L1,3942,TAFF5,0.1985
1154,2302,0,BB39W,BB47NW,,L1,3943,TAFF5G,0.1985
1154,2302,0,BB39W,BB47NW,,L1,3945,TAFF31,0.1989
1154,2302,0,BB39W,BB47NW,,L1,3948,TAFF32,0.1979
1154,2302,0,BB39W,BB47NW,,L1,3957,PART31,0.1277
1154,2302,0,BB39W,BB47NW,,L1,3960,PART32,0.1277
1154,2302,0,BB39W,BB47NW,,L1,3963,TAFF3T2,0.1979
1154,2302,0,BB39W,BB47NW,,L1,3966,ASHG5,0.1268
1154,2302,0,BB39W,BB47NW,,L1,3967,ASHG5G,0.1268
1154,2302,0,BB39W,BB47NW,,L1,3972,BIRC5,0.1262
1154,2302,0,BB39W,BB47NW,,L1,3973,BIRC5G,0.1262
1154,2302,0,BB39W,BB47NW,,L1,3975,BIRC31,0.1259
1154,2302,0,BB39W,BB47NW,,L1,3978,BIRC32,0.1259
1154,2302,0,BB39W,BB47NW,,L1,3984,CRWY5,0.1279
1154,2302,0,BB39W,BB47NW,,L1,3985,CRWY5G,0.1279
1154,2302,0,BB39W,BB47NW,,L1,3987,CRWY31,0.1277
1154,2302,0,BB39W,BB47NW,,L1,3990,CRWY32,0.1277
1154,2302,0,BB39W,BB47NW,,L1,3993,CYNC5,0.1273
1154,2302,0,BB39W,BB47NW,,L1,3994,CYNC5G,0.1273
1154,2302,0,BB39W,BB47NW,,L1,3999,GKTR5_BB_A,0.1277
1154,2302,0,BB39W,BB47NW,,L1,4000,GKTR5G,0.1277
