GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Winter,-162.3,-0.7,,
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Intermediate Cool,-136.4,-0.7,,
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Intermediate Warm,-136.4,-0.7,,
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Summer,-127.2,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Winter,-162.3,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Intermediate Cool,-136.4,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Intermediate Warm,-136.4,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Summer,-127.2,-0.7,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Winter,-157.3,-0.4,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Intermediate Cool,-159.5,-0.4,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Intermediate Warm,-159.5,-0.4,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Summer,-163.5,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Winter,-157.3,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Intermediate Cool,-159.5,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Intermediate Warm,-159.5,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Summer,-163.5,-0.4,,
