mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
74eddc41-24cd-4698-8072-d681edac8694,33kV Line 50L7074P66-51L7074P65[sec]0,7ba59942-644e-4ac1-a75d-88f78589672a,80c96eb4-9220-4853-b082-661d101260ba,50L7074P66,51L7074P65,0.0215017,0.0397606,4.21948e-07,0.121,33.0,8abad473-1e13-462a-b8c1-fa06145d9afe
9124b5c2-049f-44a8-bbcb-6e069ab65f5b,33kV Line 51L7074P26-BRHI3_#1L5[sec]0,8d49197a-1c5b-4599-8ff7-5c16824a35d4,a44a21ff-6fc6-4bf3-a713-a49a70ce3766,51L7074P26,BRHI3_#1L5,0.61754,1.11216,5.67677e-05,3.763,33.0,bce24669-7217-4264-ae3d-fec6ea4159ae
d55fdf00-fb60-44e4-b2e5-f5b9b86a3860,33kV Line 51L7074P65-51L7074P26[sec]0,80c96eb4-9220-4853-b082-661d101260ba,8d49197a-1c5b-4599-8ff7-5c16824a35d4,51L7074P65,51L7074P26,0.978593,1.8096,1.92039e-05,5.507,33.0,caff6aae-80b5-4b35-9d01-7192f41c5d0b
e58aa150-7afe-4669-91fb-ea0b0c5071f1,33kV Line 51L7662P1-51L7674P76[sec]0,d2277a6f-cc97-4d74-b976-cdd1c121e4ff,e914d600-4b5f-4049-bc13-3ba08cac9c70,51L7662P1,51L7674P76,0.0589964,0.118889,1.06387e-06,0.332,33.0,a1b0cdba-cfb6-4ffe-841f-cd342bebad09
dbae084f-94c5-4b59-a27e-ee433d6caf6e,33kV Line 51L7674P81-51L7662P1[sec]0,506c43ad-3b05-4978-87c8-befca66a6e44,d2277a6f-cc97-4d74-b976-cdd1c121e4ff,51L7674P81,51L7662P1,0.0223575,0.0629311,4.97629e-07,0.165,33.0,b4f91007-9209-4a7a-afa5-51f8e1eb5fbb
bf8a25c7-1a46-4a0b-9d58-a9bdd0c96b7e,33kV Line 51L9233P1-51L9233P2[sec]0,326f3668-b97c-480f-b1a2-540c3c534eca,4dc25638-ff15-4021-94fa-8ad308a9724b,51L9233P1,51L9233P2,0.00266549,0.00492901,5.23075e-08,0.015,33.0,18e08049-3247-41b6-82b0-479551037a8c
1fe22604-4c21-48af-ad09-b73537541820,33kV Line 52L6001P11-BISH3_#2L5[sec]0,fb6117a7-8160-44ba-9c3f-0a85470393ed,8125d5f3-20cc-4a61-9aff-b16612881cac,52L6001P11,BISH3_#2L5,1.31403,2.42561,2.8704e-05,7.405,33.0,f09c74e2-1266-4156-aa16-b6dc8fa1d7be
2f62509d-d42a-4886-bdb5-647b25118526,33kV Line 52L6022P24-PWLL3_2L9[sec]0,3bb3ec78-cfe8-4ea8-a5a2-dc9997976b43,7bfc8a2f-86e1-4c2c-a463-18295ccece85,52L6022P24,PWLL3_2L9,0.456257,0.969079,7.32663e-06,2.481,33.0,ddbaf55e-1d44-447c-a965-ff5a94ab6ef3
ff90211a-d9f2-4aa6-935a-895370696478,33kV Line 52L6022P7-CYNH3T[sec]0,a659bc73-cef6-4a40-b0fc-38ceda0450c1,34aa93ae-46fe-4bf1-92d2-e7c49fc57c79,52L6022P7,CYNH3T,0.107263,0.153023,0.000109407,1.0508,33.0,ae173436-773f-4af6-9f86-e25f962c2eef
b29b300f-0b1b-4eb9-9011-fe2f930d9d73,33kV Line 52L6032P1A-PANF3_1L3[sec]0,6493255a-859a-41bf-9157-06502993cfae,e87025d9-3374-4f52-af2f-c6219e41fdf9,52L6032P1A,PANF3_1L3,0.630901,0.83523,6.47383e-05,2.591,33.0,07f438c5-781c-40eb-b562-ea732129167e
340a9c31-ecec-40b7-9798-0ff426dcfe43,33kV Line 52L6036P46-52L6036P33[sec]0,eb795eb0-b8a9-4805-8c94-ed9aba92f485,7976af71-88a6-4cda-ab8d-19cc1f4d8ad1,52L6036P46,52L6036P33,0.245323,0.481708,4.2747e-06,1.334,33.0,93d04b1e-49fb-4ab2-8eee-3fce202f357b
2b7861d3-5b6c-4acd-9d2e-fb0acccbcc63,33kV Line 52L6039P9-TUMB3_2L5[sec]0,17f76840-6ba8-46d4-8722-c49b077a23ef,5624cf1a-9086-4e7f-982c-85c61f714fc9,52L6039P9,TUMB3_2L5,0.878588,2.41513,6.70201e-05,6.687,33.0,7944990d-a396-4469-9e7c-73bcef5e8e00
dddbacad-1f84-4ea3-98b6-6b6721b50dc8,33kV Line 52L6044P36-ABNT3[sec]0,0559ec71-d83b-4f5e-bbc7-26decf59f712,9c954b5d-98c7-4ae8-86d8-5c0b2a15220d,52L6044P36,ABNT3,0.0429791,0.0974777,6.91842e-07,0.242,33.0,b35fa16d-7acd-43c4-95b4-38a8e8e06eb7
727457ef-34a8-429c-9fc6-a66b2ea59dfd,33kV Line 52L6045P73A-ABNT3[sec]0,07ec22fc-91cf-49e6-a47a-97f860282d3d,9c954b5d-98c7-4ae8-86d8-5c0b2a15220d,52L6045P73A,ABNT3,0.0262996,0.0529988,4.74255e-07,0.148,33.0,75ba2a80-b7f4-4bc0-ac80-6d3e74387933
63145263-acb8-47fe-bdc2-378d16cd95b0,33kV Line 52L6047P38A-ABNT3[sec]0,d8141c44-58ee-4593-904a-9c60f0dae217,9c954b5d-98c7-4ae8-86d8-5c0b2a15220d,52L6047P38A,ABNT3,0.0280766,0.0565799,5.06299e-07,0.158,33.0,c8fc407c-de5d-4e4f-841a-014267238c4d
c2aa5f01-ef2d-4c06-8746-7aa1cf470e7b,33kV Line 52L6053P10-52L6053P11[sec]0,53fa2dc5-cc89-4969-a852-80ec3e69cbfb,055fc25c-7423-4236-8372-d055d188774d,52L6053P10,52L6053P11,0.022068,0.0468721,3.54371e-07,0.12,33.0,39639a79-1a8b-4419-8716-6feb4ae418c8
f8e4b033-fbbc-4f88-8fc1-5ffa17423902,33kV Line 52L6061P35E-GLWI3T[sec]0,0ab11fe3-d903-443c-bb6c-56186fcd7cc0,3d45ee9b-9b3c-412b-b392-8e0d6dd4e45d,52L6061P35E,GLWI3T,0.325504,0.691363,5.22698e-06,1.77,33.0,27b64720-676d-48c4-b017-74eaa9546cce
98f4477b-2a97-40b6-ae71-ecbce3d06b71,33kV Line 52L6061P35W-LIME3T[sec]0,88d1f52f-1cda-4941-b37c-f61e0b00e1eb,c2340108-47ce-4877-b89e-9e369b838380,52L6061P35W,LIME3T,0.640495,1.23926,1.18868e-05,3.576,33.0,06abefb2-d0f7-474d-a045-589d31644eac
696019df-8d83-4fa8-b79e-4d1d7c4c60fe,33kV Line 52L6067P19-INCS3_MAIN2[sec]0,9b3920f8-e80a-4fd4-a331-78559772001f,4115b4f0-e476-400c-8f6f-245abc4b3409,52L6067P19,INCS3_MAIN2,0.010936,0.014952,1.24407e-07,0.04,33.0,22249f1b-2b41-4602-ac77-ac34cd2c6fec
56b7375f-94a7-4c5e-9c60-312df33f9767,33kV Line 52L6070P5-JERM3_MAIN1[sec]0,8455def2-8173-4899-bc08-2ef932e63a8f,c2ac2ad9-ce49-4565-ba33-bc7745977747,52L6070P5,JERM3_MAIN1,0.0218571,0.0440463,3.94144e-07,0.123,33.0,d9e06bfd-8b84-4a1c-b5ab-4985337863bb
0384b066-a3b9-495e-9687-b2f3bc29143d,33kV Line 52L7756P5A-JERM3_MAIN2[sec]0,16c4caa8-3968-4e1d-9793-74e257df8709,ba673a39-f31a-4ca1-b8d6-f13af5e2adbe,52L7756P5A,JERM3_MAIN2,0.0191099,0.0360815,3.6286e-07,0.1091,33.0,21634a13-9ffe-454d-9ccc-8ee816cbac84
e95367d3-681b-434a-b1b1-e2c306adc389,33kV Line 52L7800P1-KIDW3_#2L5[sec]0,382afe3e-8f36-4e40-9c59-45cb280d9f24,9026ebf5-20d2-4dc0-b598-2497f0689246,52L7800P1,KIDW3_#2L5,0.829147,1.52926,2.10185e-05,4.68,33.0,a4218357-4476-40fd-a7e8-0f1299427598
5e5970a7-97ec-4893-85b6-31c7cef60d08,33kV Line 53L7603P23-53L7603P4[sec]0,e6a977f7-fcb9-4d58-875c-8856d3467e6b,d3f1fa53-00cf-405a-b78e-7e5a0bc538af,53L7603P23,53L7603P4,0.112409,0.109483,6.88848e-05,0.757,33.0,e8f11784-c2b3-4fb0-8e0c-33b9e56bb6be
7e543512-e821-4e08-ae93-fef78a26533a,33kV Line 53L7603P39-BLRK3_2L9[sec]0,aed96c13-590c-4788-a97b-8b1563c824f0,115762bf-efb2-4d7d-884d-72d1756b54a0,53L7603P39,BLRK3_2L9,0.503603,0.68854,5.72894e-06,1.842,33.0,e7d064c6-1917-4db7-8a0f-37dd67be9704
55b44a9e-9e23-4aca-a636-56a48577859d,33kV Line 53L7603P53-53L7603P52[sec]0,abc3af4a-831c-4acc-aa2b-506f2d51c2ad,7e67e417-b500-475f-ad06-f1b1e7b94501,53L7603P53,53L7603P52,0.0213252,0.0291565,2.42593e-07,0.078,33.0,d21770ae-368c-49a4-8098-d2cefb689e40
07dd9a39-e47b-491c-9fc1-24d0ea7de92c,33kV Line 53L7603P53-RUNS3_3L9[sec]0,abc3af4a-831c-4acc-aa2b-506f2d51c2ad,2ff40028-6b35-4794-87d5-3203835d7a8e,53L7603P53,RUNS3_3L9,0.0185912,0.0254185,2.11492e-07,0.068,33.0,dd42cb8f-e9fc-4e62-864d-ca7eb6a4174c
12a08405-add0-4055-9d46-f5b75c578ccc,33kV Line 53L7603P65A-53L7603P53[sec]0,88600468-2f3d-4ef6-9121-3a86f4639d78,abc3af4a-831c-4acc-aa2b-506f2d51c2ad,53L7603P65A,53L7603P53,0.44114,0.619205,4.85565e-06,1.61,33.0,e6ea781b-1201-4951-bb94-8b65e6f0ce91
8f1fd320-f4c5-4e18-a135-999d2acac38a,33kV Line 53L7607P31-SUDB3_1L5[sec]0,64202fca-628e-4ad0-ac54-5223e2ab04f2,390d99bb-e5e9-408f-95df-74af55996c45,53L7607P31,SUDB3_1L5,1.19087,1.30053,2.6305e-05,4.344,33.0,d74ce428-0c3c-4612-afcd-72e9bc2d4d65
bdbe04dc-5272-4d00-95ed-ae51f6d1b155,66kV Line 53L8042P1-53SA15N[sec]0,4c507081-3441-4d18-90ec-4df4407faa36,21483e11-b495-4549-82df-cacc3d234846,53L8042P1,53SA15N,0.045491,0.0941057,8.36419e-07,0.256,66.0,a991805f-c8a7-4479-b457-dd4185dc1a9e
54c91b25-3a15-47c2-a9c3-024e738280bc,66kV Line 53L8042P1-PMIS6[sec]0,4c507081-3441-4d18-90ec-4df4407faa36,743397c1-8cd3-4c0b-9840-aa0b7aed9047,53L8042P1,PMIS6,0.621523,1.28627,2.86449e-05,3.914,66.0,68347bdb-65c4-4419-9681-d096c586d125
