mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
1fe22604-4c21-48af-ad09-b73537541820,33kV Line 52L6001P11-BISH3_#2L5[sec]0,fb6117a7-8160-44ba-9c3f-0a85470393ed,8125d5f3-20cc-4a61-9aff-b16612881cac,52L6001P11,BISH3_#2L5,1.31403,2.42561,2.8704e-05,7.405,33.0,f09c74e2-1266-4156-aa16-b6dc8fa1d7be
2f62509d-d42a-4886-bdb5-647b25118526,33kV Line 52L6022P24-PWLL3_2L9[sec]0,3bb3ec78-cfe8-4ea8-a5a2-dc9997976b43,7bfc8a2f-86e1-4c2c-a463-18295ccece85,52L6022P24,PWLL3_2L9,0.456257,0.969079,7.32663e-06,2.481,33.0,ddbaf55e-1d44-447c-a965-ff5a94ab6ef3
ff90211a-d9f2-4aa6-935a-895370696478,33kV Line 52L6022P7-CYNH3T[sec]0,a659bc73-cef6-4a40-b0fc-38ceda0450c1,34aa93ae-46fe-4bf1-92d2-e7c49fc57c79,52L6022P7,CYNH3T,0.107263,0.153023,0.000109407,1.0508,33.0,ae173436-773f-4af6-9f86-e25f962c2eef
b29b300f-0b1b-4eb9-9011-fe2f930d9d73,33kV Line 52L6032P1A-PANF3_1L3[sec]0,6493255a-859a-41bf-9157-06502993cfae,e87025d9-3374-4f52-af2f-c6219e41fdf9,52L6032P1A,PANF3_1L3,0.630901,0.83523,6.47383e-05,2.591,33.0,07f438c5-781c-40eb-b562-ea732129167e
340a9c31-ecec-40b7-9798-0ff426dcfe43,33kV Line 52L6036P46-52L6036P33[sec]0,eb795eb0-b8a9-4805-8c94-ed9aba92f485,7976af71-88a6-4cda-ab8d-19cc1f4d8ad1,52L6036P46,52L6036P33,0.245323,0.481708,4.2747e-06,1.334,33.0,93d04b1e-49fb-4ab2-8eee-3fce202f357b
2b7861d3-5b6c-4acd-9d2e-fb0acccbcc63,33kV Line 52L6039P9-TUMB3_2L5[sec]0,17f76840-6ba8-46d4-8722-c49b077a23ef,5624cf1a-9086-4e7f-982c-85c61f714fc9,52L6039P9,TUMB3_2L5,0.878588,2.41513,6.70201e-05,6.687,33.0,7944990d-a396-4469-9e7c-73bcef5e8e00
dddbacad-1f84-4ea3-98b6-6b6721b50dc8,33kV Line 52L6044P36-ABNT3[sec]0,0559ec71-d83b-4f5e-bbc7-26decf59f712,9c954b5d-98c7-4ae8-86d8-5c0b2a15220d,52L6044P36,ABNT3,0.0429791,0.0974777,6.91842e-07,0.242,33.0,b35fa16d-7acd-43c4-95b4-38a8e8e06eb7
727457ef-34a8-429c-9fc6-a66b2ea59dfd,33kV Line 52L6045P73A-ABNT3[sec]0,07ec22fc-91cf-49e6-a47a-97f860282d3d,9c954b5d-98c7-4ae8-86d8-5c0b2a15220d,52L6045P73A,ABNT3,0.0262996,0.0529988,4.74255e-07,0.148,33.0,75ba2a80-b7f4-4bc0-ac80-6d3e74387933
63145263-acb8-47fe-bdc2-378d16cd95b0,33kV Line 52L6047P38A-ABNT3[sec]0,d8141c44-58ee-4593-904a-9c60f0dae217,9c954b5d-98c7-4ae8-86d8-5c0b2a15220d,52L6047P38A,ABNT3,0.0280766,0.0565799,5.06299e-07,0.158,33.0,c8fc407c-de5d-4e4f-841a-014267238c4d
c2aa5f01-ef2d-4c06-8746-7aa1cf470e7b,33kV Line 52L6053P10-52L6053P11[sec]0,53fa2dc5-cc89-4969-a852-80ec3e69cbfb,055fc25c-7423-4236-8372-d055d188774d,52L6053P10,52L6053P11,0.022068,0.0468721,3.54371e-07,0.12,33.0,39639a79-1a8b-4419-8716-6feb4ae418c8
f8e4b033-fbbc-4f88-8fc1-5ffa17423902,33kV Line 52L6061P35E-GLWI3T[sec]0,0ab11fe3-d903-443c-bb6c-56186fcd7cc0,3d45ee9b-9b3c-412b-b392-8e0d6dd4e45d,52L6061P35E,GLWI3T,0.325504,0.691363,5.22698e-06,1.77,33.0,27b64720-676d-48c4-b017-74eaa9546cce
98f4477b-2a97-40b6-ae71-ecbce3d06b71,33kV Line 52L6061P35W-LIME3T[sec]0,88d1f52f-1cda-4941-b37c-f61e0b00e1eb,c2340108-47ce-4877-b89e-9e369b838380,52L6061P35W,LIME3T,0.640495,1.23926,1.18868e-05,3.576,33.0,06abefb2-d0f7-474d-a045-589d31644eac
696019df-8d83-4fa8-b79e-4d1d7c4c60fe,33kV Line 52L6067P19-INCS3_MAIN2[sec]0,9b3920f8-e80a-4fd4-a331-78559772001f,4115b4f0-e476-400c-8f6f-245abc4b3409,52L6067P19,INCS3_MAIN2,0.010936,0.014952,1.24407e-07,0.04,33.0,22249f1b-2b41-4602-ac77-ac34cd2c6fec
56b7375f-94a7-4c5e-9c60-312df33f9767,33kV Line 52L6070P5-JERM3_MAIN1[sec]0,8455def2-8173-4899-bc08-2ef932e63a8f,c2ac2ad9-ce49-4565-ba33-bc7745977747,52L6070P5,JERM3_MAIN1,0.0218571,0.0440463,3.94144e-07,0.123,33.0,d9e06bfd-8b84-4a1c-b5ab-4985337863bb
0384b066-a3b9-495e-9687-b2f3bc29143d,33kV Line 52L7756P5A-JERM3_MAIN2[sec]0,16c4caa8-3968-4e1d-9793-74e257df8709,ba673a39-f31a-4ca1-b8d6-f13af5e2adbe,52L7756P5A,JERM3_MAIN2,0.0191099,0.0360815,3.6286e-07,0.1091,33.0,21634a13-9ffe-454d-9ccc-8ee816cbac84
e95367d3-681b-434a-b1b1-e2c306adc389,33kV Line 52L7800P1-KIDW3_#2L5[sec]0,382afe3e-8f36-4e40-9c59-45cb280d9f24,9026ebf5-20d2-4dc0-b598-2497f0689246,52L7800P1,KIDW3_#2L5,0.829147,1.52926,2.10185e-05,4.68,33.0,a4218357-4476-40fd-a7e8-0f1299427598
d48ce4f6-7230-439d-874f-6c14c73ed989,33kV Line 55L7043P59-ABDA3_1L5[sec]0,8c02b15f-bd01-4241-9aa8-ff2a03473389,3f5a0d9a-c4d1-4569-9588-ae0e1d3549d5,55L7043P59,ABDA3_1L5,1.82976,3.63411,2.75708e-05,9.319,33.0,ca7f174a-7f68-49d9-a8d4-cc9618119feb
984bbd62-c742-48a5-9e2a-7b091ce0fb55,33kV Line 55L7043P59-HIRW3_1L5[sec]0,8c02b15f-bd01-4241-9aa8-ff2a03473389,391e8b58-68ab-49e4-947d-8c7d4b0eee3b,55L7043P59,HIRW3_1L5,1.3225,1.89735,0.00016679,6.111,33.0,d9f355a8-c627-4b0c-9b7c-24e372d5e91a
28073165-4ca0-4519-9bf1-712ced72232a,33kV Line 56L6078P8-LLCY3_MAIN2[sec]0,efe599f5-b09c-4dcf-b94e-151b2a03e2f7,94044fde-cb8e-4045-b5e3-b8d4a84cd76b,56L6078P8,LLCY3_MAIN2,0.565976,1.44229,6.41385e-05,4.327,33.0,1bd27185-1a96-4375-b779-7431b236f9b5
34c45116-d402-4547-aa0f-f5d1990a1b9f,33kV Line 58L1323P59M-WGWB3_1L3[sec]0,15c3f24b-8f78-4430-947e-0f21986b7ee6,d4cd8995-4d4a-4fc4-a983-cab2e81e4fcd,58L1323P59M,WGWB3_1L3,1.89715,2.09539,2.52111e-05,7.079,33.0,86d680bc-94fc-4078-a372-441f70c199fc
