mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
858a1be4-cd7c-4857-96ec-5cbd72494be0,33/11kV 2WT ABAE3_#1H0-ABAE5_1T0,2,466e5458-170b-44d4-b179-129301a2d1a8,cb25b7e7-e4e7-441e-99d8-2f69a10f850e,ABAE3_#1H0,33.0,0.639243,11.0642,100.0,b44b1e7e-e558-41e6-91fb-68007b50c0ac,ABAE5_1T0,11.0,0.0,0.0,100.0,,,,,,
c5a00c68-3b2b-4f83-8fdd-1bd77e83a82f,33/11kV 2WT ABDA3_#1H0-ABDA5_1T0,2,03b75081-bd5d-4fc6-b41d-92cf21c1cfb6,8d6156b2-8504-45bc-81e0-b17f99986322,ABDA3_#1H0,33.0,0.542812,12.1029,100.0,ceb99bf7-4363-45c7-a763-5c24170e590d,ABDA5_1T0,11.0,0.0,0.0,100.0,,,,,,
89c27c1c-57e3-45f3-ab03-1adf9ba595d6,33/11kV 2WT ABDA3_#2H0-ABDA5_2T0,2,03b75081-bd5d-4fc6-b41d-92cf21c1cfb6,78c39e79-1ca1-4c76-98b3-4055099651c4,ABDA3_#2H0,33.0,0.546754,12.0755,100.0,95709e63-1f1d-4733-a693-bcb01e11bff2,ABDA5_2T0,11.0,0.0,0.0,100.0,,,,,,
dd8233c0-4944-4309-a745-47db892e6af8,33/11kV 2WT ABEC3_1H4-ABEC5_1T0,2,c843fa31-2a90-4698-9e07-0b692dd2b9e3,a98b89a4-e14c-4a49-8780-b51b89f7b36b,ABEC3_1H4,33.0,0.87414,12.4857,100.0,0ce7f10b-9acb-4531-b824-d8cb80dd4445,ABEC5_1T0,11.0,0.0,0.0,100.0,,,,,,
03515f2e-d2a1-4847-89c6-b21800034669,33/11kV 2WT ABEC3_2H4-ABEC5_2T0,2,c843fa31-2a90-4698-9e07-0b692dd2b9e3,6b336a40-4d5e-443a-8d8b-4a94e876667b,ABEC3_2H4,33.0,0.865864,12.428,100.0,c3a9a7a6-b1ab-4734-8b47-4b3cf9e4e222,ABEC5_2T0,11.0,0.0,0.0,100.0,,,,,,
19f96b1a-e52d-4949-ac9d-42b8515dd7ea,33/11kV 2WT ABEP3_#1H0-ABEP5_1T0,2,dc388f50-61a4-45cb-b8ce-2b2e92273614,0376cdda-7a2b-4e51-85e8-4353b56d3a12,ABEP3_#1H0,33.0,0.552014,11.9935,100.0,d535b55e-c967-4909-82cc-d459e272a5ae,ABEP5_1T0,11.0,0.0,0.0,100.0,,,,,,
10073b5d-2588-47d0-ad5f-b7549554b56b,33/11kV 2WT ABEP3_#2H0-ABEP5_2T0,2,dc388f50-61a4-45cb-b8ce-2b2e92273614,e4b9fc39-5e27-42af-9759-2d4dc85bf460,ABEP3_#2H0,33.0,0.556152,12.1024,100.0,0ecd7500-0554-471f-a8f4-2b33e3f440d6,ABEP5_2T0,11.0,0.0,0.0,100.0,,,,,,
d25d93c8-fa19-4006-ab61-24823a34472f,132/33kV 2WT AMMA1_#110-AMMA3_#1T0,2,0019c517-3f16-459f-be70-7155643602ad,707572f1-1182-403b-aa9a-aaa041bc3059,AMMA1_#110,132.0,0.737384,42.5663,100.0,4d04b9b2-8f10-4ed0-b407-ce988f316584,AMMA3_#1T0,33.0,0.0,0.0,100.0,,,,,,
a1370dca-f35f-434d-93a7-04c5d041dcae,132/33kV 2WT AMMA1_#210-AMMA3_#2T0,2,0019c517-3f16-459f-be70-7155643602ad,d4d90e49-23bc-40fb-95c6-a955bbd5af78,AMMA1_#210,132.0,1.50369,49.9267,100.0,304a44f1-b35b-4591-bee2-580ace857d12,AMMA3_#2T0,33.0,0.0,0.0,100.0,,,,,,
a5be2fa6-56d1-4d42-9636-79cc63a33517,33/11kV 2WT BISH3_#1H0-BISH5_1T0,2,f5e9ebd2-c796-490a-b427-cb788f1c370b,063d86ca-ce7d-4732-894b-1f6480863f04,BISH3_#1H0,33.0,1.23743,15.9647,100.0,25e8882e-dbbf-4d21-802d-2f4e5c756c95,BISH5_1T0,11.0,0.0,0.0,100.0,,,,,,
0d57f57c-a190-4290-a954-2a44f2a0c824,33/11kV 2WT BISH3_#2H0-BISH5_2T0,2,f5e9ebd2-c796-490a-b427-cb788f1c370b,ed3fb38a-1bdb-44af-b781-3b654394a121,BISH3_#2H0,33.0,1.23362,15.8952,100.0,bfabe878-a0cd-4424-ace0-f9fe71775d1c,BISH5_2T0,11.0,0.0,0.0,100.0,,,,,,
