mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
4df4732c-344d-479a-bb2d-10aeedae5316,132/11/11kV 3WT NEWE1_#110-NEWE5_1T0A-NEWE5_1T0B,3,0bd55162-c36d-4892-b562-255c031f1a8d,f71c6588-eb7c-4642-af29-a1205bbf9c31,NEWE1_#110,132.0,1.38259,11.9964,100.0,2c3b2b1e-1c45-451c-bb84-d932a9dbdbfc,NEWE5_1T0A,11.0,0.010533,0.901995,100.0,ea0b22b1-e5d6-46af-8c1e-e73cb7a3b3cc,NEWE5_1T0B,11.0,0.0103516,0.897155,100.0
581986b1-23d4-43cb-9e38-093d9a7446f1,132/11/11kV 3WT NEWE1_#210-NEWE5_2T0A-NEWE5_2T0B,3,0bd55162-c36d-4892-b562-255c031f1a8d,f825b414-c447-4f7f-b62c-53a971f926fe,NEWE1_#210,132.0,1.38259,11.9964,100.0,25e1b250-e4ff-4452-ab86-401685a9503c,NEWE5_2T0A,11.0,0.010533,0.901995,100.0,3eef4fb2-afaa-449d-8235-d80a66fa2ea3,NEWE5_2T0B,11.0,0.0103516,0.897155,100.0
858a1be4-cd7c-4857-96ec-5cbd72494be0,33/11kV 2WT ABAE3_#1H0-ABAE5_1T0,2,466e5458-170b-44d4-b179-129301a2d1a8,cb25b7e7-e4e7-441e-99d8-2f69a10f850e,ABAE3_#1H0,33.0,0.639243,11.0642,100.0,b44b1e7e-e558-41e6-91fb-68007b50c0ac,ABAE5_1T0,11.0,0.0,0.0,100.0,,,,,,
c5a00c68-3b2b-4f83-8fdd-1bd77e83a82f,33/11kV 2WT ABDA3_#1H0-ABDA5_1T0,2,03b75081-bd5d-4fc6-b41d-92cf21c1cfb6,8d6156b2-8504-45bc-81e0-b17f99986322,ABDA3_#1H0,33.0,0.542812,12.1029,100.0,ceb99bf7-4363-45c7-a763-5c24170e590d,ABDA5_1T0,11.0,0.0,0.0,100.0,,,,,,
89c27c1c-57e3-45f3-ab03-1adf9ba595d6,33/11kV 2WT ABDA3_#2H0-ABDA5_2T0,2,03b75081-bd5d-4fc6-b41d-92cf21c1cfb6,78c39e79-1ca1-4c76-98b3-4055099651c4,ABDA3_#2H0,33.0,0.546754,12.0755,100.0,95709e63-1f1d-4733-a693-bcb01e11bff2,ABDA5_2T0,11.0,0.0,0.0,100.0,,,,,,
dd8233c0-4944-4309-a745-47db892e6af8,33/11kV 2WT ABEC3_1H4-ABEC5_1T0,2,c843fa31-2a90-4698-9e07-0b692dd2b9e3,a98b89a4-e14c-4a49-8780-b51b89f7b36b,ABEC3_1H4,33.0,0.87414,12.4857,100.0,0ce7f10b-9acb-4531-b824-d8cb80dd4445,ABEC5_1T0,11.0,0.0,0.0,100.0,,,,,,
03515f2e-d2a1-4847-89c6-b21800034669,33/11kV 2WT ABEC3_2H4-ABEC5_2T0,2,c843fa31-2a90-4698-9e07-0b692dd2b9e3,6b336a40-4d5e-443a-8d8b-4a94e876667b,ABEC3_2H4,33.0,0.865864,12.428,100.0,c3a9a7a6-b1ab-4734-8b47-4b3cf9e4e222,ABEC5_2T0,11.0,0.0,0.0,100.0,,,,,,
19f96b1a-e52d-4949-ac9d-42b8515dd7ea,33/11kV 2WT ABEP3_#1H0-ABEP5_1T0,2,dc388f50-61a4-45cb-b8ce-2b2e92273614,0376cdda-7a2b-4e51-85e8-4353b56d3a12,ABEP3_#1H0,33.0,0.552014,11.9935,100.0,d535b55e-c967-4909-82cc-d459e272a5ae,ABEP5_1T0,11.0,0.0,0.0,100.0,,,,,,
10073b5d-2588-47d0-ad5f-b7549554b56b,33/11kV 2WT ABEP3_#2H0-ABEP5_2T0,2,dc388f50-61a4-45cb-b8ce-2b2e92273614,e4b9fc39-5e27-42af-9759-2d4dc85bf460,ABEP3_#2H0,33.0,0.556152,12.1024,100.0,0ecd7500-0554-471f-a8f4-2b33e3f440d6,ABEP5_2T0,11.0,0.0,0.0,100.0,,,,,,
e0ed6d3c-a2b6-45b2-9f89-f12cfaa04d7f,132/66kV 2WT ABGA1_#110-ABGA6_#1T0,2,1f593d27-368f-4810-999d-822349dda440,6432288f-6888-432f-82a6-b63b51fa552a,ABGA1_#110,132.0,0.744005,44.3092,100.0,58e44591-0309-4aad-a933-5f40b56ec1d9,ABGA6_#1T0,66.0,0.0,0.0,100.0,,,,,,
4eca2fd7-7582-44cf-9ed5-c23c21c897af,132/66kV 2WT ABGA1_#210-ABGA6_#2T0,2,1f593d27-368f-4810-999d-822349dda440,56aacca2-0f93-4502-9c36-f76045b4199e,ABGA1_#210,132.0,0.738255,44.6574,100.0,cefd027f-fda3-4b17-b7c5-9f8a01cabd95,ABGA6_#2T0,66.0,0.0,0.0,100.0,,,,,,
a0c88bf1-89b3-428e-b336-06278ab65fc8,132/11kV 2WT ABGA1_#510-ABGA5_5T0,2,1f593d27-368f-4810-999d-822349dda440,820f5a2f-52de-45fc-b5cd-06f3e04c6163,ABGA1_#510,132.0,4.03017,148.165,100.0,9ac5bf23-aaa9-4151-88cd-f98b5555e7c9,ABGA5_5T0,11.0,0.0,0.0,100.0,,,,,,
ddc46558-e44c-4590-8a3d-f9fda037e52d,132/11kV 2WT ABGA1_#610-ABGA5_6T0,2,1f593d27-368f-4810-999d-822349dda440,83b56400-3cf7-43e7-8448-8b31838337b0,ABGA1_#610,132.0,3.90298,146.717,100.0,06a60ab4-e1d3-44c3-9bca-178545b94cc9,ABGA5_6T0,11.0,0.0,0.0,100.0,,,,,,
948c10d1-2f00-4646-ad16-6272af9324de,66/11kV 2WT ABSY6_1H3-ABSY5_1T0,2,8a2d50a0-619a-4ed5-b76e-2f3091ebcf1a,9e2d89bb-f26c-41ec-9ed2-98da6659098e,ABSY6_1H3,66.0,2.75648,41.382,100.0,71f44892-e202-4ed0-8af3-a14f14d4ec29,ABSY5_1T0,11.0,0.0,0.0,100.0,,,,,,
c7c08aed-8708-42f0-b9b1-04530fe3ef89,66/11kV 2WT ABSY6_2H3-ABSY5_2T0,2,8a2d50a0-619a-4ed5-b76e-2f3091ebcf1a,553117a3-154c-4d9f-9f7d-2aca9ed6b646,ABSY6_2H3,66.0,2.77042,41.5854,100.0,20f7bfcc-6c9f-4130-809b-f98ddc2fca1a,ABSY5_2T0,11.0,0.0,0.0,100.0,,,,,,
4433d546-feb7-4e32-9817-53f03b10da4f,33/11kV 2WT ABTI3_#1H0-ABTI5_1T0,2,99156e86-2abc-4153-af64-0d7abb0692bf,9ab1ca2b-3427-418c-8988-2d94ff0b9183,ABTI3_#1H0,33.0,0.833085,11.9932,100.0,676fabdc-ec9b-4628-a2a9-21f4665cd1ae,ABTI5_1T0,11.0,0.0,0.0,100.0,,,,,,
3e619716-055e-4f6f-a12a-a4543c79abd9,33/11kV 2WT ABTI3_#2H0-ABTI5_2T0,2,99156e86-2abc-4153-af64-0d7abb0692bf,b258d5af-2270-4604-a7c6-d9018af7bc7b,ABTI3_#2H0,33.0,0.82764,11.9507,100.0,6a63fc9f-fc7b-4f2b-bcab-7a21f5e70739,ABTI5_2T0,11.0,0.0,0.0,100.0,,,,,,
8c612cc3-74e2-4a19-935b-9faa41221b88,33/11kV 2WT ABTY3_1H3-ABTY5_1T0,2,c684184f-9715-4ba8-9068-bfa65b3f0c02,14b82a83-8dd8-4d82-9148-41b2a8687647,ABTY3_1H3,33.0,0.830907,12.291,100.0,23cc3218-9c73-47bc-a934-c70d73f4a0d3,ABTY5_1T0,11.0,0.0,0.0,100.0,,,,,,
7dee9de4-31aa-4e2a-93ef-afe6347f41cf,33/11kV 2WT ABTY3_2H3-ABTY5_2T0,2,c684184f-9715-4ba8-9068-bfa65b3f0c02,c6a4d7ae-11ad-4eb4-b339-e18760276dcb,ABTY3_2H3,33.0,0.828838,12.3493,100.0,6c769b66-b024-429f-b311-e89626d4b8f0,ABTY5_2T0,11.0,0.0,0.0,100.0,,,,,,
d25d93c8-fa19-4006-ab61-24823a34472f,132/33kV 2WT AMMA1_#110-AMMA3_#1T0,2,0019c517-3f16-459f-be70-7155643602ad,707572f1-1182-403b-aa9a-aaa041bc3059,AMMA1_#110,132.0,0.737384,42.5663,100.0,4d04b9b2-8f10-4ed0-b407-ce988f316584,AMMA3_#1T0,33.0,0.0,0.0,100.0,,,,,,
a1370dca-f35f-434d-93a7-04c5d041dcae,132/33kV 2WT AMMA1_#210-AMMA3_#2T0,2,0019c517-3f16-459f-be70-7155643602ad,d4d90e49-23bc-40fb-95c6-a955bbd5af78,AMMA1_#210,132.0,1.50369,49.9267,100.0,304a44f1-b35b-4591-bee2-580ace857d12,AMMA3_#2T0,33.0,0.0,0.0,100.0,,,,,,
35e180a4-080f-4f4e-ae66-707ee36f545b,33/11kV 2WT ASHG3_1H3-ASHG5_1T0,2,130f1be5-9ce9-4936-8a42-63e434485230,b50541ba-c47d-4e50-9607-5904d6a59992,ASHG3_1H3,33.0,0.841797,12.211,100.0,b6078332-ff6d-4dc9-9072-c7aff3bb1257,ASHG5_1T0,11.0,0.0,0.0,100.0,,,,,,
709e53db-b0d5-4935-82ac-c0e4b197a971,33/11kV 2WT ASHG3_2H3-ASHG5_2T0,2,130f1be5-9ce9-4936-8a42-63e434485230,c91f2dae-0ace-4e55-9922-2b09ca264178,ASHG3_2H3,33.0,0.882308,10.839,100.0,a87f8886-5409-42d3-b541-afe214b1336a,ASHG5_2T0,11.0,0.0,0.0,100.0,,,,,,
af8083e0-72d0-4c93-8213-c00e071d867b,132/33kV 2WT BARR1_#110-BRHI3_#1T0,2,97329d74-55bf-49ff-b7c4-94b931161cdb,823bc2dc-bd68-49a7-a2eb-87c46fa35fac,BARR1_#110,132.0,1.28415,44.6316,100.0,c2a499b6-0c18-46cc-8a10-fc98a1ae6e81,BRHI3_#1T0,33.0,0.0,0.0,100.0,,,,,,
f00eb8f1-e775-420f-9592-702e1cf2d139,132/33kV 2WT BARR1_#210-BRHI3_#2T0,2,97329d74-55bf-49ff-b7c4-94b931161cdb,de7018eb-2547-4f18-8cb5-fa8bfd300487,BARR1_#210,132.0,1.27718,44.6891,100.0,65f85acd-bf62-4c9a-b667-2df213f40e8d,BRHI3_#2T0,33.0,0.0,0.0,100.0,,,,,,
a0f9d9eb-1a43-42be-aab3-8560022e311e,33/11kV 2WT BIRC31-BIRC5_1T0,2,1f3828b5-ce80-4903-9fee-cc7195d55c1e,c41743e7-f856-4e90-a1ea-0bd79a2a2c8c,BIRC31,33.0,0.538815,12.2752,100.0,8e0db23e-5d6a-4060-bf8c-1a7432753db5,BIRC5_1T0,11.0,0.0,0.0,100.0,,,,,,
744f7dd4-8482-4ba8-a7b0-816d93768028,33/11kV 2WT BIRC32-BIRC5_2T0,2,1f3828b5-ce80-4903-9fee-cc7195d55c1e,1ab0f6ed-adff-4ad4-a3bb-df8041e4c524,BIRC32,33.0,0.539539,12.3212,100.0,d531e663-76c3-451b-944e-3f83d5fb4014,BIRC5_2T0,11.0,0.0,0.0,100.0,,,,,,
a5be2fa6-56d1-4d42-9636-79cc63a33517,33/11kV 2WT BISH3_#1H0-BISH5_1T0,2,f5e9ebd2-c796-490a-b427-cb788f1c370b,063d86ca-ce7d-4732-894b-1f6480863f04,BISH3_#1H0,33.0,1.23743,15.9647,100.0,25e8882e-dbbf-4d21-802d-2f4e5c756c95,BISH5_1T0,11.0,0.0,0.0,100.0,,,,,,
0d57f57c-a190-4290-a954-2a44f2a0c824,33/11kV 2WT BISH3_#2H0-BISH5_2T0,2,f5e9ebd2-c796-490a-b427-cb788f1c370b,ed3fb38a-1bdb-44af-b781-3b654394a121,BISH3_#2H0,33.0,1.23362,15.8952,100.0,bfabe878-a0cd-4424-ace0-f9fe71775d1c,BISH5_2T0,11.0,0.0,0.0,100.0,,,,,,
c2304977-c7bf-46e2-8299-8b845fcdc192,66/11kV 2WT BLAE6_1H3-BLAE5_1T0,2,df5a6f8c-052a-46bc-85ec-38e5c7eefb8b,7b47f641-5bc3-4a87-933c-c4eff084e753,BLAE6_1H3,66.0,2.95293,41.8233,100.0,d6c4d0db-8b54-4a09-a905-958819cb0b13,BLAE5_1T0,11.0,0.0,0.0,100.0,,,,,,
534bd432-1e46-4408-ab14-17cd002a2b4c,66/11kV 2WT BLAE6_2H3-BLAE5_2T0,2,df5a6f8c-052a-46bc-85ec-38e5c7eefb8b,68351874-52f4-4d52-8c26-fbcfa3754329,BLAE6_2H3,66.0,3.00564,41.7087,100.0,f01c571d-1b4a-4de2-924c-caf5f0406079,BLAE5_2T0,11.0,0.0,0.0,100.0,,,,,,
398f436d-1c0f-4428-b3e2-1fd1bd049a0b,33/11kV 2WT BLAP3_#1H0-BLAP5_1T0,2,970da3ba-1fbf-45ed-b3fe-f8ad4329494d,3fc02529-57a6-4d51-9337-6371898c6c63,BLAP3_#1H0,33.0,1.22992,15.8883,100.0,481357bf-2a76-42d5-bb6b-f45c7308aacd,BLAP5_1T0,11.0,0.0,0.0,100.0,,,,,,
6b7069f9-5af3-4b9f-827a-937222791b6f,33/11kV 2WT BLAP3_#2H0-BLAP5_2T0,2,970da3ba-1fbf-45ed-b3fe-f8ad4329494d,a0af0e18-0350-4ebb-a1a9-d1771725b5d1,BLAP3_#2H0,33.0,1.24462,15.8593,100.0,18efa9f6-b09c-4ca0-a289-75bf1bc3e5d2,BLAP5_2T0,11.0,0.0,0.0,100.0,,,,,,
6a1d0869-0708-431b-a710-7eee9375fe6f,33/11kV 2WT BOVE3_#1H0-BOVE5_1T0,2,cb6651a8-48f6-44a6-9788-41ddbc1a8d1d,446c7ab9-7bb8-420a-88e7-17ba752c4d3f,BOVE3_#1H0,33.0,0.329749,8.95049,100.0,d46bab2a-97bd-44ad-91ed-153a544bed47,BOVE5_1T0,11.0,0.0,0.0,100.0,,,,,,
cdd4616a-76ed-46eb-8a21-e888f7d6e996,33/11kV 2WT BOVE3_#2H0-BOVE5_2T0,2,cb6651a8-48f6-44a6-9788-41ddbc1a8d1d,55f4697c-a121-48ce-965b-18cd8f8d4a98,BOVE3_#2H0,33.0,0.512919,11.1938,100.0,db97c791-429c-4b78-9e38-728f3ad0f2a2,BOVE5_2T0,11.0,0.0,0.0,100.0,,,,,,
