substation,zone,technology,capacity_mw,year,queue_mw_remaining,n_projects_remaining,curtailment_pct,curtailed_mwh,total_mwh
ASHG,aberthaw-and-cardiff-east,PV,20,2025,331,9,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2026,237,7,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2027,237,7,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2028,237,7,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2029,172,5,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2030,172,5,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2031,172,5,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2032,130,4,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2033,130,4,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2034,130,4,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,2035,130,4,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,Wind,20,2025,331,9,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2026,237,7,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2027,237,7,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2028,237,7,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2029,172,5,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2030,172,5,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2031,172,5,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2032,130,4,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2033,130,4,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2034,130,4,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,2035,130,4,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,BESS,20,2025,331,9,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2026,237,7,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2027,237,7,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2028,237,7,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2029,172,5,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2030,172,5,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2031,172,5,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2032,130,4,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2033,130,4,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2034,130,4,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,2035,130,4,27.51,22230,80812
BARY,aberthaw-and-cardiff-east,PV,20,2025,331,9,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2026,237,7,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2027,237,7,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2028,237,7,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2029,172,5,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2030,172,5,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2031,172,5,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2032,130,4,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2033,130,4,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2034,130,4,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,2035,130,4,0.08,17,22257
BARY,aberthaw-and-cardiff-east,Wind,20,2025,331,9,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2026,237,7,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2027,237,7,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2028,237,7,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2029,172,5,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2030,172,5,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2031,172,5,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2032,130,4,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2033,130,4,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2034,130,4,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,2035,130,4,0.37,188,50570
BARY,aberthaw-and-cardiff-east,BESS,20,2025,331,9,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2026,237,7,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2027,237,7,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2028,237,7,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2029,172,5,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2030,172,5,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2031,172,5,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2032,130,4,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2033,130,4,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2034,130,4,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,2035,130,4,2.95,2383,80812
BOVE,aberthaw-and-cardiff-east,PV,20,2025,331,9,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2026,237,7,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2027,237,7,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2028,237,7,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2029,172,5,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2030,172,5,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2031,172,5,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2032,130,4,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2033,130,4,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2034,130,4,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,2035,130,4,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,Wind,20,2025,331,9,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,2026,237,7,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,2027,237,7,23.73,11998,50570
