Licence,GSP Group,Node 1,Operating Voltage 1,Node 2,Operating Voltage 2,Status,Vector Group,R1,X1,X0,Min Tap,Max Tap,Nominal Rating,Emergency Rating,Reverse Power Capability,Method of Earthing
EMIDS,Berkswell 132kV,BANR3_1H3,33,BANR5_1T0,11,Updated,Dyn11,6.422,110.846,99.761,-12,4,12,19,-,Resistor
EMIDS,Berkswell 132kV,BANR3_2H3,33,BANR5_2T0,11,Updated,Dyn11,5.803,111.939,100.745,-12,4,12,19,-,Resistor
EMIDS,Berkswell 132kV,CAMH3_1H3,33,CAMH5_1T0,11,Updated,Dyn11,3.279,93.939,93.939,-10,3,20,20,-,Resistor
EMIDS,Berkswell 132kV,CAMH3_T2,33,CAMH5_2T0,11,Updated,Dyn11,3.279,94.485,94.485,-10,3,20,20,-,Resistor
EMIDS,Berkswell 132kV,CLAV3_1H3,33,CLAV5_1T0,11,Updated,Dyn11,4.663,90.269,90.269,-10,3,15,15,-,Resistor
EMIDS,Berkswell 132kV,CLAV3_2H3,33,CLAV5_2T0,11,Updated,Dyn11,4.391,88.531,88.531,-10,3,15,15,-,Resistor
EMIDS,Berkswell 132kV,COUG3_#1H5,33,COUG5_1T0,11,Updated,Dyn11,5.680,121.310,103.110,-12,4,12,24,-,Resistor
EMIDS,Berkswell 132kV,COUG3_#2H5,33,COUG5_2T0,11,Updated,Dyn11,5.550,121.560,103.320,-12,4,12,24,-,Resistor
EMIDS,Berkswell 132kV,COUG3_#3H5,33,COUG7_3T0,6.6,Updated,Dyn11,4.396,66.387,66.387,-10,3,15,21.75,-,Resistor
EMIDS,Berkswell 132kV,COUR3_MAIN1,33,COUR7_1T0,6.6,Removed,Dyn11,5.376,125.076,125.076,-16,3,19,24,-,Resistor
EMIDS,Berkswell 132kV,COUR3_MAIN2,33,COUR7_2T0,6.6,Removed,Dyn11,6.270,128.090,108.880,-14,5,12,24,-,Resistor
EMIDS,Berkswell 132kV,COUR3_T1,33,COUR7_1T0,6.6,New,Dyn11,5.376,125.076,125.076,-13,3,19,24,-,Resistor
EMIDS,Berkswell 132kV,COUR3_T2,33,COUR7_2T0,6.6,New,Dyn11,6.270,128.090,108.880,-9,4,12,24,-,Resistor
EMIDS,Berkswell 132kV,COVC1_113,132,COVC3_GT1,33,New,YNd1,0.503,18.666,15.870,-12,6,60,120,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVC1_113,132,COVC3_#1T0,33,Removed,YNd1,0.503,18.666,15.870,-20,10,60,120,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVC1_213,132,COVC3_GT2,33,New,YNd1,0.502,18.583,15.799,-12,6,60,120,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVC1_213,132,COVC3_#2T0,33,Removed,YNd1,0.502,18.583,15.799,-20,10,60,120,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVS1_113,132,COVS3_#1T0,33,Updated,YNd1,0.394,15.133,17.000,-12,6,45,90,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVS1_213,132,COVS3_#2T0,33,Updated,YNd1,0.394,15.133,17.000,-12,6,45,90,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVW1_313,132,COVW3_GT3,33,Updated,YNd1,0.420,25.090,21.320,-12,6,60,90,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVW1_413,132,COVW3_GT4,33,Updated,YNd1,0.410,25.100,21.330,-12,6,60,90,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,COVW3_T1,33,COVW7_1T0,6.6,Updated,Dyn11,5.860,128.110,108.890,-12,1,18,24,-,Resistor
EMIDS,Berkswell 132kV,COVW3_T2,33,COVW7_2T0,6.6,Updated,Dyn11,5.820,127.020,107.960,-12,4,18,24,-,Resistor
EMIDS,Berkswell 132kV,COXS3_1H3,33,COXS7_1T0,6.6,Updated,Dyn11,4.904,96.236,96.236,-12,3,15,21.75,-,Resistor
EMIDS,Berkswell 132kV,COXS3_2H3,33,COXS7_2T0,6.6,Updated,Dyn11,4.904,96.791,96.791,-12,3,15,21.75,-,Resistor
EMIDS,Berkswell 132kV,DILA3_MAIN2,33,DILA5_2T0,11,Updated,Dyn11,5.150,86.650,73.650,-13,4,12,19,-,Resistor
EMIDS,Berkswell 132kV,DUNP3_MAIN1,33,DUNP7_1T0,6.6,Removed,Dyn11,5.728,90.558,90.558,-16,5,19,24,-,Resistor
EMIDS,Berkswell 132kV,DUNP3_MAIN2,33,DUNP7_2T0,6.6,Removed,Dyn11,5.529,96.102,96.102,-16,5,19,24,-,Resistor
EMIDS,Berkswell 132kV,DUNP3_T1,33,DUNP7_1T0,6.6,New,Dyn11,5.728,90.558,90.558,-13,4,19,24,-,Resistor
EMIDS,Berkswell 132kV,DUNP3_T2,33,DUNP7_2T0,6.6,New,Dyn11,5.529,96.102,96.102,-13,4,19,24,-,Resistor
EMIDS,Berkswell 132kV,GAYD3_1H3,33,GAYD5_1T0,11,Updated,Dyn11,5.337,75.591,75.591,-10,4,12,19,-,Resistor
EMIDS,Berkswell 132kV,GAYD3_2H3,33,GAYD5_2T0,11,Updated,Dyn11,5.337,75.591,75.591,-10,4,12,19,-,Resistor
EMIDS,Berkswell 132kV,HARB1_113,132,HARB3_#1T0,33,Updated,YNd1,0.410,24.920,23.260,-12,6,45,90,-,Earthing Transformer + Resistor
EMIDS,Berkswell 132kV,HARB1_213,132,HARB3_#2T0,33,Updated,YNd1,0.420,24.790,23.180,-12,6,45,90,-,Earthing Transformer + Resistor
