From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
1161,514806,0,ALLE1T,PEMB1_105,,L1,132.0,132.0,Non-transformer branch,-125.976,65.39844771846143,Winter
1161,514806,0,ALLE1T,PEMB1_105,,L1,132.0,132.0,Non-transformer branch,-124.375,64.56731389299263,Intermediate Cool
1161,514806,0,ALLE1T,PEMB1_105,,L1,132.0,132.0,Non-transformer branch,-120.26,62.431076733839554,Intermediate Warm
1161,514806,0,ALLE1T,PEMB1_105,,L1,132.0,132.0,Non-transformer branch,-117.516,61.006572538282796,Summer
1161,520604,0,ALLE1T,GOLD1_103,,L1,132.0,132.0,Non-transformer branch,-65.39926427915523,125.976,Winter
1161,520604,0,ALLE1T,GOLD1_103,,L1,132.0,132.0,Non-transformer branch,-64.56812007620445,124.375,Intermediate Cool
1161,520604,0,ALLE1T,GOLD1_103,,L1,132.0,132.0,Non-transformer branch,-62.43185624413546,120.26,Intermediate Warm
1161,520604,0,ALLE1T,GOLD1_103,,L1,132.0,132.0,Non-transformer branch,-61.00733426231351,117.516,Summer
2621,2630,0,MHAV1A,PEMB1M,,L1,132.0,132.0,Non-transformer branch,-92.595,48.014439452247196,Winter
2621,2630,0,MHAV1A,PEMB1M,,L1,132.0,132.0,Non-transformer branch,-90.08,46.710305155336975,Intermediate Cool
2621,2630,0,MHAV1A,PEMB1M,,L1,132.0,132.0,Non-transformer branch,-83.45,43.27236861914821,Intermediate Warm
2621,2630,0,MHAV1A,PEMB1M,,L1,132.0,132.0,Non-transformer branch,-79.335,41.13856637986966,Summer
2621,587400,0,MHAV1A,82FF15W,,L1,132.0,132.0,Non-transformer branch,-145.866,145.866,Winter
2621,587400,0,MHAV1A,82FF15W,,L1,132.0,132.0,Non-transformer branch,-143.123,143.123,Intermediate Cool
2621,587400,0,MHAV1A,82FF15W,,L1,132.0,132.0,Non-transformer branch,-135.349,135.349,Intermediate Warm
2621,587400,0,MHAV1A,82FF15W,,L1,132.0,132.0,Non-transformer branch,-130.091,130.091,Summer
2624,2640,0,TRSX1T,ROBT11,,L1,132.0,132.0,Non-transformer branch,-114.544,66.51377621991541,Winter
2624,2640,0,TRSX1T,ROBT11,,L1,132.0,132.0,Non-transformer branch,-112.944,65.5846831032802,Intermediate Cool
2624,2640,0,TRSX1T,ROBT11,,L1,132.0,132.0,Non-transformer branch,-108.6,63.062195291615566,Intermediate Warm
2624,2640,0,TRSX1T,ROBT11,,L1,132.0,132.0,Non-transformer branch,-105.627,61.33582414426775,Summer
2624,520507,0,TRSX1T,TRSX1_103,,L1,132.0,132.0,Non-transformer branch,-114.544,114.544,Winter
2624,520507,0,TRSX1T,TRSX1_103,,L1,132.0,132.0,Non-transformer branch,-112.944,112.944,Intermediate Cool
2624,520507,0,TRSX1T,TRSX1_103,,L1,132.0,132.0,Non-transformer branch,-108.6,108.6,Intermediate Warm
2624,520507,0,TRSX1T,TRSX1_103,,L1,132.0,132.0,Non-transformer branch,-105.627,105.627,Summer
2624,520813,0,TRSX1T,MIFH1_403,,L1,132.0,132.0,Non-transformer branch,-114.544,90.94776245349027,Winter
