From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Node Number,Node Name,Sensitivity Factor MW
1161,514806,0,ALLE1T,PEMB1_105,,L1,1161,ALLE1T,-0.6515
1161,514806,0,ALLE1T,PEMB1_105,,L1,2008,HAVS3G,-0.1763
1161,514806,0,ALLE1T,PEMB1_105,,L1,2017,RDBX3G,-0.1719
1161,514806,0,ALLE1T,PEMB1_105,,L1,2018,OAKC3G,-0.1754
1161,514806,0,ALLE1T,PEMB1_105,,L1,2025,ROBE5_BB_A,-0.1699
1161,514806,0,ALLE1T,PEMB1_105,,L1,2026,ROBE5_BB_B,-0.1703
1161,514806,0,ALLE1T,PEMB1_105,,L1,2045,WATE51,-0.153
1161,514806,0,ALLE1T,PEMB1_105,,L1,2047,WATE52,-0.153
1161,514806,0,ALLE1T,PEMB1_105,,L1,2621,MHAV1A,-0.1701
1161,514806,0,ALLE1T,PEMB1_105,,L1,2624,TRSX1T,-0.1698
1161,514806,0,ALLE1T,PEMB1_105,,L1,2627,TRSX3G,-0.1681
1161,514806,0,ALLE1T,PEMB1_105,,L1,2630,PEMB1M,-0.17
1161,514806,0,ALLE1T,PEMB1_105,,L1,2631,PEMB1T,-0.1345
1161,514806,0,ALLE1T,PEMB1_105,,L1,2640,ROBT11,-0.1698
1161,514806,0,ALLE1T,PEMB1_105,,L1,2641,ROBT12,-0.1702
1161,514806,0,ALLE1T,PEMB1_105,,L1,2647,SHHK3_GT1,-0.1703
1161,514806,0,ALLE1T,PEMB1_105,,L1,2648,SHHK3_GT2,-0.1703
1161,514806,0,ALLE1T,PEMB1_105,,L1,2649,SHHK3_MAIN1,-0.1703
1161,514806,0,ALLE1T,PEMB1_105,,L1,2650,SHHK3_MAIN2,-0.1703
1161,514806,0,ALLE1T,PEMB1_105,,L1,3003,BRAW5,-0.1768
1161,514806,0,ALLE1T,PEMB1_105,,L1,3009,BROF5,-0.2212
1161,514806,0,ALLE1T,PEMB1_105,,L1,3011,YERB3G,-0.2009
1161,514806,0,ALLE1T,PEMB1_105,,L1,3015,FISH5,-0.174
1161,514806,0,ALLE1T,PEMB1_105,,L1,3016,LNGT5G,-0.17
1161,514806,0,ALLE1T,PEMB1_105,,L1,3021,GOLD5,-0.2562
1161,514806,0,ALLE1T,PEMB1_105,,L1,3022,GOLS5G,-0.2558
1161,514806,0,ALLE1T,PEMB1_105,,L1,3023,GOLD5G,-0.2562
1161,514806,0,ALLE1T,PEMB1_105,,L1,3024,HAVP5,-0.176
1161,514806,0,ALLE1T,PEMB1_105,,L1,3025,HAVP5G,-0.176
1161,514806,0,ALLE1T,PEMB1_105,,L1,3026,CGRV5G,-0.1648
1161,514806,0,ALLE1T,PEMB1_105,,L1,3027,HAVP31,-0.1765
1161,514806,0,ALLE1T,PEMB1_105,,L1,3030,HAVP32,-0.1765
1161,514806,0,ALLE1T,PEMB1_105,,L1,3033,MERB5,-0.1777
1161,514806,0,ALLE1T,PEMB1_105,,L1,3042,MILP5,-0.1966
1161,514806,0,ALLE1T,PEMB1_105,,L1,3047,LIDR3G,-0.196
1161,514806,0,ALLE1T,PEMB1_105,,L1,3048,NEVE5,-0.1758
1161,514806,0,ALLE1T,PEMB1_105,,L1,3054,NEYL5,-0.2079
1161,514806,0,ALLE1T,PEMB1_105,,L1,3058,WSFM3T,-0.2447
1161,514806,0,ALLE1T,PEMB1_105,,L1,3059,WSFM3G,-0.2447
1161,514806,0,ALLE1T,PEMB1_105,,L1,3060,PEBL5,-0.1619
1161,514806,0,ALLE1T,PEMB1_105,,L1,3061,WEAR3G,-0.2058
1161,514806,0,ALLE1T,PEMB1_105,,L1,3062,PEBL5G,-0.1619
1161,514806,0,ALLE1T,PEMB1_105,,L1,3066,STFL5,-0.2348
1161,514806,0,ALLE1T,PEMB1_105,,L1,3067,JORD3G,-0.2365
1161,514806,0,ALLE1T,PEMB1_105,,L1,3071,CASP5G,-0.1983
1161,514806,0,ALLE1T,PEMB1_105,,L1,3072,STTW5,-0.252
1161,514806,0,ALLE1T,PEMB1_105,,L1,3077,LNTH3G,-0.245
1161,514806,0,ALLE1T,PEMB1_105,,L1,3080,HOPL3G,-0.2451
1161,514806,0,ALLE1T,PEMB1_105,,L1,3081,STDA5,-0.1775
1161,514806,0,ALLE1T,PEMB1_105,,L1,3086,YEBS3G,-0.2511
1161,514806,0,ALLE1T,PEMB1_105,,L1,3087,STEY5,-0.1983
1161,514806,0,ALLE1T,PEMB1_105,,L1,3092,NTEN3G,-0.1834
1161,514806,0,ALLE1T,PEMB1_105,,L1,3093,TENB5,-0.224
1161,514806,0,ALLE1T,PEMB1_105,,L1,3099,MERB3T,-0.1767
1161,514806,0,ALLE1T,PEMB1_105,,L1,3100,ROBW5G,-0.2158
1161,514806,0,ALLE1T,PEMB1_105,,L1,3105,TENB3T,-0.2245
1161,514806,0,ALLE1T,PEMB1_105,,L1,3538,WLND3G,-0.1536
1161,514806,0,ALLE1T,PEMB1_105,,L1,5654,60L5493P66,-0.2366
1161,514806,0,ALLE1T,PEMB1_105,,L1,5655,JORD3_1L9,-0.2366
1161,514806,0,ALLE1T,PEMB1_105,,L1,5656,60L117P468,-0.2011
1161,514806,0,ALLE1T,PEMB1_105,,L1,5657,YERB3_1L9,-0.2011
1161,514806,0,ALLE1T,PEMB1_105,,L1,5658,60L5489P138,-0.2452
1161,514806,0,ALLE1T,PEMB1_105,,L1,5659,LNTH3_3L9,-0.2452
1161,514806,0,ALLE1T,PEMB1_105,,L1,5660,60L5489P134,-0.2453
1161,514806,0,ALLE1T,PEMB1_105,,L1,5661,HOPL3_2L9,-0.2453
1161,514806,0,ALLE1T,PEMB1_105,,L1,5662,60L794P6,-0.2512
1161,514806,0,ALLE1T,PEMB1_105,,L1,5663,HPLN3_1L9,-0.2512
1161,514806,0,ALLE1T,PEMB1_105,,L1,5664,60L4531P47,-0.253
1161,514806,0,ALLE1T,PEMB1_105,,L1,5665,YEBS3_4L9,-0.253
1161,514806,0,ALLE1T,PEMB1_105,,L1,5666,60L910P1,-0.2073
1161,514806,0,ALLE1T,PEMB1_105,,L1,5667,WEAR3_1L9,-0.2073
1161,514806,0,ALLE1T,PEMB1_105,,L1,5668,STEY3_7L3,-0.1983
1161,514806,0,ALLE1T,PEMB1_105,,L1,5669,STEY3_INTER,-0.1983
1161,514806,0,ALLE1T,PEMB1_105,,L1,5670,STEY3_5L3,-0.1983
1161,514806,0,ALLE1T,PEMB1_105,,L1,5671,60L4528P33A,-0.196
1161,514806,0,ALLE1T,PEMB1_105,,L1,5672,LIDR3_1L9,-0.196
1161,514806,0,ALLE1T,PEMB1_105,,L1,5673,60L627P45,-0.1837
