scenario,substation,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,curtailed_hours,binding_branch,exceeds_2000h,exceeds_1000h
Baseline (current rules),ABAE,PV,20,6.02,1340,22257,504,ABAE3_1L3->LLAN3_2L5,False,False
Baseline (current rules),ABAE,Wind,20,5.03,2544,50570,1080,ABAE3_1L3->LLAN3_2L5,False,True
Baseline (current rules),ABAE,BESS,20,21.76,17585,80812,2460,ABAE3_1L3->LLAN3_2L5,True,True
Baseline (current rules),ABDA,PV,20,0.47,104,22257,82,ABDA3_2L5->HIRW3_6L5,False,False
Baseline (current rules),ABDA,Wind,20,0.8,405,50570,246,ABDA3_2L5->HIRW3_6L5,False,False
Baseline (current rules),ABDA,BESS,20,7.73,6248,80812,2034,ABDA3_2L5->HIRW3_6L5,True,True
Baseline (current rules),ABEC,PV,20,3.41,760,22257,196,HIRW3_2L5->HNDR3T,False,False
Baseline (current rules),ABEC,Wind,20,0.2,103,50570,92,ABEC3_2L5->TRAV3_#1L5,False,False
Baseline (current rules),ABEC,BESS,20,1.04,839,80812,524,ABEC3_2L5->TRAV3_#1L5,False,False
Baseline (current rules),ABYS,PV,20,4.57,1016,22257,400,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),ABYS,Wind,20,15.21,7694,50570,1069,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),ABYS,BESS,20,15.24,12318,80812,1431,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),ADVY,PV,20,4.56,1014,22257,399,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),ADVY,Wind,20,15.08,7625,50570,1058,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),ADVY,BESS,20,15.15,12241,80812,1422,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),ALCO,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),ALCO,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),ALCO,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),Ammanford,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Ammanford,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Ammanford,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),BISH,PV,20,26.98,6006,22257,1172,SWAW3_#10L5->52L6001P11,False,True
Baseline (current rules),BISH,Wind,20,18.06,9134,50570,2334,SWAW3_#10L5->52L6001P11,True,True
Baseline (current rules),BISH,BESS,20,32.95,26627,80812,2488,SWAW3_#10L5->52L6001P11,True,True
Baseline (current rules),BLAP,PV,20,12.25,2726,22257,552,LLAN3_1L5->BLAP3_3L5,False,False
Baseline (current rules),BLAP,Wind,20,0.85,430,50570,144,LLAN3_1L5->BLAP3_3L5,False,False
Baseline (current rules),BLAP,BESS,20,3.68,2974,80812,1080,LLAN3_1L5->BLAP3_3L5,False,True
Baseline (current rules),BRID,PV,20,15.19,3381,22257,694,BRID3_2L9->BRID3_2L5,False,False
Baseline (current rules),BRID,Wind,20,2.2,1113,50570,506,LWND3T->58L5303P19,False,False
Baseline (current rules),BRID,BESS,20,12.72,10277,80812,2450,LWND3T->58L5303P19,True,True
Baseline (current rules),BWST,PV,20,4.62,1028,22257,403,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),BWST,Wind,20,14.86,7515,50570,1037,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),BWST,BESS,20,15.35,12402,80812,1448,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),Briton Ferry,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Briton Ferry,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Briton Ferry,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),CARG,PV,20,15.92,3544,22257,783,LWND3T->58L5303P19,False,False
Baseline (current rules),CARG,Wind,20,5.37,2717,50570,1070,LWND3T->58L5303P19,False,True
Baseline (current rules),CARG,BESS,20,21.5,17378,80812,2476,LWND3T->58L5303P19,True,True
Baseline (current rules),CLAS,PV,20,29.34,6531,22257,1780,CLAS3_#2L5->SWAN3_10L5,False,True
Baseline (current rules),CLAS,Wind,20,45.85,23188,50570,3245,CLAS3_#2L5->SWAN3_10L5,True,True
Baseline (current rules),CLAS,BESS,20,48.23,38980,80812,4352,CLAS3_#2L5->SWAN3_10L5,True,True
Baseline (current rules),COMS,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),COMS,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),COMS,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),CRHA,PV,20,1.61,359,22257,212,CRHA3_#2L5->AMMA3_9L5,False,False
Baseline (current rules),CRHA,Wind,20,0.61,307,50570,247,CRHA3_#2L5->AMMA3_9L5,False,False
Baseline (current rules),CRHA,BESS,20,8.47,6846,80812,2298,CRHA3_#2L5->AMMA3_9L5,True,True
Baseline (current rules),CWFR,PV,20,4.42,983,22257,534,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),CWFR,Wind,20,20.0,10116,50570,1764,WGWB3_1L3->58L1323P59M,False,True
Baseline (current rules),CWFR,BESS,20,28.77,23251,80812,3088,WGWB3_1L3->58L1323P59M,True,True
