From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
2212,2216,0,BOCT11,MBIO1T,,L1,132.0,132.0,Non-transformer branch,-125.7762838123629,158.67,Winter
2212,2216,0,BOCT11,MBIO1T,,L1,132.0,132.0,Non-transformer branch,-123.23887986402124,155.469,Intermediate Cool
2212,2216,0,BOCT11,MBIO1T,,L1,132.0,132.0,Non-transformer branch,-116.53350654348945,147.01,Intermediate Warm
2212,2216,0,BOCT11,MBIO1T,,L1,132.0,132.0,Non-transformer branch,-112.1832182371792,141.522,Summer
2212,590600,0,BOCT11,82F9N,,L1,132.0,132.0,Non-transformer branch,-158.67,119.52561137218675,Winter
2212,590600,0,BOCT11,82F9N,,L1,132.0,132.0,Non-transformer branch,-155.469,117.11430815165123,Intermediate Cool
2212,590600,0,BOCT11,82F9N,,L1,132.0,132.0,Non-transformer branch,-147.01,110.74217008776185,Intermediate Warm
2212,590600,0,BOCT11,82F9N,,L1,132.0,132.0,Non-transformer branch,-141.522,106.60807696864318,Summer
2213,2218,0,BOCT12,MBIO1M,,L1,132.0,132.0,Non-transformer branch,-47.60099999999999,158.67,Winter
2213,2218,0,BOCT12,MBIO1M,,L1,132.0,132.0,Non-transformer branch,-46.640699999999995,155.469,Intermediate Cool
2213,2218,0,BOCT12,MBIO1M,,L1,132.0,132.0,Non-transformer branch,-44.102999999999994,147.01,Intermediate Warm
2213,2218,0,BOCT12,MBIO1M,,L1,132.0,132.0,Non-transformer branch,-42.456599999999995,141.522,Summer
2213,590400,0,BOCT12,82F9S,,L1,132.0,132.0,Non-transformer branch,-65.07346234579195,158.67,Winter
2213,590400,0,BOCT12,82F9S,,L1,132.0,132.0,Non-transformer branch,-63.760673835242514,155.469,Intermediate Cool
2213,590400,0,BOCT12,82F9S,,L1,132.0,132.0,Non-transformer branch,-60.29148357884209,147.01,Intermediate Warm
2213,590400,0,BOCT12,82F9S,,L1,132.0,132.0,Non-transformer branch,-58.040754636044426,141.522,Summer
2216,511003,0,MBIO1T,MAGA1_103,,L1,132.0,132.0,Non-transformer branch,-47.60099999999999,158.67,Winter
2216,511003,0,MBIO1T,MAGA1_103,,L1,132.0,132.0,Non-transformer branch,-46.640699999999995,155.469,Intermediate Cool
2216,511003,0,MBIO1T,MAGA1_103,,L1,132.0,132.0,Non-transformer branch,-44.102999999999994,147.01,Intermediate Warm
2216,511003,0,MBIO1T,MAGA1_103,,L1,132.0,132.0,Non-transformer branch,-42.456599999999995,141.522,Summer
2216,549602,0,MBIO1T,MBIO1_103,,L1,132.0,132.0,Non-transformer branch,-128.8230575250432,129.176,Winter
2216,549602,0,MBIO1T,MBIO1_103,,L1,132.0,132.0,Non-transformer branch,-120.84292107310634,121.174,Intermediate Cool
2216,549602,0,MBIO1T,MBIO1_103,,L1,132.0,132.0,Non-transformer branch,-120.84292107310634,121.174,Intermediate Warm
2216,549602,0,MBIO1T,MBIO1_103,,L1,132.0,132.0,Non-transformer branch,-114.00266164748338,114.315,Summer
2218,511005,0,MBIO1M,MAGA1_203,,L1,132.0,132.0,Non-transformer branch,-47.60099999999999,158.67,Winter
2218,511005,0,MBIO1M,MAGA1_203,,L1,132.0,132.0,Non-transformer branch,-46.640699999999995,155.469,Intermediate Cool
2218,511005,0,MBIO1M,MAGA1_203,,L1,132.0,132.0,Non-transformer branch,-44.102999999999994,147.01,Intermediate Warm
2218,511005,0,MBIO1M,MAGA1_203,,L1,132.0,132.0,Non-transformer branch,-42.456599999999995,141.522,Summer
2252,2256,0,WNDT11,PCDT11,,L1,132.0,132.0,Non-transformer branch,-112.486,72.54583575926672,Winter
2252,2256,0,WNDT11,PCDT11,,L1,132.0,132.0,Non-transformer branch,-110.2,71.07152090634561,Intermediate Cool
2252,2256,0,WNDT11,PCDT11,,L1,132.0,132.0,Non-transformer branch,-104.256,67.23804431589808,Intermediate Warm
2252,2256,0,WNDT11,PCDT11,,L1,132.0,132.0,Non-transformer branch,-100.369,64.73119312022689,Summer
2253,2257,0,WNDT12,PCDT12,,L1,132.0,132.0,Non-transformer branch,-112.486,70.49598190940598,Winter
2253,2257,0,WNDT12,PCDT12,,L1,132.0,132.0,Non-transformer branch,-110.2,69.06332527084739,Intermediate Cool
2253,2257,0,WNDT12,PCDT12,,L1,132.0,132.0,Non-transformer branch,-104.256,65.33816732701874,Intermediate Warm
2253,2257,0,WNDT12,PCDT12,,L1,132.0,132.0,Non-transformer branch,-100.369,62.902149674316526,Summer
