From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Node Number,Node Name,Sensitivity Factor MW
2212,2216,0,BOCT11,MBIO1T,,L1,2216,MBIO1T,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,2219,MBIO3G,0.9908
2212,2216,0,BOCT11,MBIO1T,,L1,2266,MAGA61,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,22661,MAGA95,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,511000,MAGA1_&110,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,511002,MAGA1_#110,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,511003,MAGA1_103,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,549600,MBIO1_&110,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,549601,MBIO1_#110,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,549602,MBIO1_103,0.9997
2212,2216,0,BOCT11,MBIO1T,,L1,549603,MBIO1_113A,0.9997
2212,590600,0,BOCT11,82F9N,,L1,2212,BOCT11,-0.9625
2212,590600,0,BOCT11,82F9N,,L1,2213,BOCT12,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,2216,MBIO1T,-0.9623
2212,590600,0,BOCT11,82F9N,,L1,2218,MBIO1M,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,2219,MBIO3G,-0.9518
2212,590600,0,BOCT11,82F9N,,L1,2266,MAGA61,-0.9623
2212,590600,0,BOCT11,82F9N,,L1,2267,MAGA62,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,22661,MAGA95,-0.9623
2212,590600,0,BOCT11,82F9N,,L1,22672,MAGA96,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,511000,MAGA1_&110,-0.9623
2212,590600,0,BOCT11,82F9N,,L1,511002,MAGA1_#110,-0.9623
2212,590600,0,BOCT11,82F9N,,L1,511003,MAGA1_103,-0.9623
2212,590600,0,BOCT11,82F9N,,L1,511004,MAGA1_#210,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,511005,MAGA1_203,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,511100,MAGA1_&210,-0.0374
2212,590600,0,BOCT11,82F9N,,L1,549600,MBIO1_&110,-0.9622
2212,590600,0,BOCT11,82F9N,,L1,549601,MBIO1_#110,-0.9622
2212,590600,0,BOCT11,82F9N,,L1,549602,MBIO1_103,-0.9622
2212,590600,0,BOCT11,82F9N,,L1,549603,MBIO1_113A,-0.9622
2212,590600,0,BOCT11,82F9N,,L1,583300,BOCM5_BB_A,-0.4968
2212,590600,0,BOCT11,82F9N,,L1,583301,BOCM5_BB_B,-0.4968
