Power Units_Bus Number,MW_2255,MVAr_2255,MW_3732,MVAr_3732,MW_3762,MVAr_3762,MW_3771,MVAr_3771,MW_3772,MVAr_3772,MW_3780,MVAr_3780,MW_3789,MVAr_3789,MW_3792,MVAr_3792,MW_517100,MVAr_517100,MW_517102,MVAr_517102,MW_547400,MVAr_547400,MW_549000,MVAr_549000,MW_583313,MVAr_583313,MW_583314,MVAr_583314
2024-01-01 00:30:00,4.43,0.00,4.10,-0.83,7.31,0.00,1.60,-0.58,1.60,-0.58,5.16,0.00,4.18,0.00,2.39,0.00,-55.70,11.06,-55.70,11.06,13.60,-1.97,17.26,0.00,18.22,4.12,18.22,4.12
2024-01-01 01:00:00,4.43,0.00,4.13,-0.82,7.16,0.00,1.60,-0.58,1.60,-0.58,4.60,0.00,4.10,0.00,2.47,0.00,-57.00,10.94,-57.00,10.94,14.00,-2.03,16.97,0.00,18.31,4.16,18.31,4.16
2024-01-01 01:30:00,4.27,0.00,4.09,-0.80,6.96,0.00,1.49,-0.58,1.49,-0.58,5.14,0.00,3.93,0.00,2.44,0.00,-57.75,10.77,-57.75,10.77,14.00,-2.11,16.95,0.00,18.52,4.28,18.52,4.28
2024-01-01 02:00:00,3.84,0.00,3.91,-0.82,6.71,0.00,1.39,-0.58,1.39,-0.58,4.83,0.00,3.78,0.00,2.37,0.00,-58.59,10.13,-58.59,10.13,14.58,-1.62,16.41,0.00,18.68,4.38,18.68,4.38
2024-01-01 02:30:00,3.79,0.00,3.77,-0.82,6.58,0.00,1.34,-0.56,1.34,-0.56,4.60,0.00,3.60,0.00,2.34,0.00,-66.60,10.02,-66.60,10.02,22.67,-1.96,15.73,0.00,18.73,4.48,18.73,4.48
2024-01-01 03:00:00,3.80,0.00,3.64,-0.82,6.42,0.00,1.20,-0.56,1.20,-0.56,4.37,0.00,3.47,0.00,2.30,0.00,-66.06,10.08,-66.06,10.08,21.34,-2.33,15.19,-2.38,18.89,4.65,18.89,4.65
2024-01-01 03:30:00,4.13,0.00,3.55,-0.82,6.30,0.00,1.18,-0.56,1.18,-0.56,4.16,0.00,3.34,0.00,2.23,0.00,-65.42,10.66,-65.42,10.66,20.81,-2.53,14.67,0.00,18.90,5.38,18.90,5.38
2024-01-01 04:00:00,4.14,0.00,3.50,-0.81,6.16,0.00,1.10,-0.56,1.10,-0.56,4.01,0.00,3.28,0.00,2.11,0.00,-58.14,9.77,-58.14,9.77,15.13,-1.89,14.24,0.00,18.89,5.05,18.89,5.05
2024-01-01 04:30:00,4.10,0.00,3.41,-0.84,6.07,0.00,1.05,-0.56,1.05,-0.56,3.89,0.00,3.24,0.00,2.08,0.00,-58.39,8.97,-58.39,8.97,14.81,-2.09,13.79,-4.02,18.85,4.33,18.85,4.33
2024-01-01 05:00:00,4.11,0.00,3.34,-0.81,6.00,0.00,1.04,-0.56,1.04,-0.56,3.84,0.00,3.19,0.00,2.03,0.00,-59.29,9.23,-59.29,9.23,15.27,-1.83,13.50,0.00,18.77,4.30,18.77,4.30
2024-01-01 05:30:00,4.08,0.00,3.34,-0.81,5.98,0.00,1.05,-0.56,1.05,-0.56,3.77,0.00,3.16,0.00,1.99,0.00,-58.32,8.34,-58.32,8.34,16.40,-1.74,0.00,0.00,18.75,4.25,18.75,4.25
2024-01-01 06:00:00,4.09,0.00,3.39,-0.81,6.06,0.00,1.10,-0.55,1.10,-0.55,3.80,0.00,3.30,0.00,1.96,0.00,-59.85,9.00,-59.85,9.00,16.23,-1.45,15.13,0.00,18.88,4.32,18.88,4.32
2024-01-01 06:30:00,4.26,0.00,3.54,-0.84,6.27,0.00,1.16,-0.56,1.16,-0.56,3.93,0.00,3.53,0.00,2.06,0.00,-57.42,8.37,-57.42,8.37,14.97,-1.45,16.53,0.00,18.78,4.27,18.78,4.27
2024-01-01 07:00:00,4.30,0.00,3.60,-0.82,6.49,0.00,1.18,-0.56,1.18,-0.56,4.09,0.00,3.61,0.00,2.08,0.00,-52.30,6.70,-52.30,6.70,13.75,-1.34,14.16,-5.35,18.78,4.26,18.78,4.26
2024-01-01 07:30:00,4.42,0.00,3.82,-0.78,6.94,0.00,1.23,-0.56,1.23,-0.56,4.29,0.00,3.66,0.00,2.14,0.00,-56.03,8.39,-56.03,8.39,15.16,-1.74,14.70,0.00,18.72,4.24,18.72,4.24
2024-01-01 08:00:00,4.55,0.00,3.98,-0.72,7.28,0.00,1.27,-0.56,1.27,-0.56,4.53,0.00,3.85,0.00,2.20,0.00,-55.39,8.28,-55.39,8.28,17.20,-1.90,15.40,1.51,18.68,4.28,18.68,4.28
2024-01-01 08:30:00,4.95,0.00,4.01,-0.72,7.62,0.00,1.39,-0.56,1.39,-0.56,4.83,0.00,4.04,0.00,2.26,0.00,-40.51,3.17,-40.51,3.17,13.49,-1.62,16.10,-3.49,18.71,4.28,18.71,4.28
2024-01-01 09:00:00,4.72,0.00,4.18,-0.71,8.06,0.00,1.58,-0.54,1.58,-0.54,5.17,0.00,4.20,0.00,2.38,0.00,-29.62,-1.25,-29.62,-1.25,10.46,1.12,16.80,-3.08,18.75,4.33,18.75,4.33
2024-01-01 09:30:00,4.74,0.00,4.37,-0.68,8.62,0.00,1.78,-0.53,1.78,-0.53,5.53,0.00,4.38,0.00,2.45,0.00,-22.88,-3.41,-22.88,-3.41,7.79,1.94,17.59,0.00,18.73,4.33,18.73,4.33
2024-01-01 10:00:00,4.68,0.00,4.57,-0.67,9.52,0.00,1.99,-0.53,1.99,-0.53,5.79,0.00,4.60,0.00,2.55,0.00,-28.16,-0.73,-28.16,-0.73,8.46,1.68,18.43,-4.62,18.68,4.30,18.68,4.30
2024-01-01 10:30:00,5.04,0.00,4.78,-0.68,10.18,0.00,2.18,-0.53,2.18,-0.53,6.25,0.00,4.76,0.00,2.56,0.00,-21.91,-2.25,-21.91,-2.25,6.65,1.68,19.76,-2.39,18.73,4.30,18.73,4.30
