From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
1150,2522,0,J114W,J78W,,L1,132.0,132.0,Non-transformer branch,-183.43968085407238,183.43968085407238,Winter
1150,2522,0,J114W,J78W,,L1,132.0,132.0,Non-transformer branch,-179.7225172511312,179.7225172511312,Intermediate Cool
1150,2522,0,J114W,J78W,,L1,132.0,132.0,Non-transformer branch,-170.1030295531674,170.1030295531674,Intermediate Warm
1150,2522,0,J114W,J78W,,L1,132.0,132.0,Non-transformer branch,-163.7617607466063,163.7617607466063,Summer
1150,2603,0,J114W,J121G1,,L1,132.0,132.0,Non-transformer branch,-183.43968085407238,183.43968085407238,Winter
1150,2603,0,J114W,J121G1,,L1,132.0,132.0,Non-transformer branch,-179.7225172511312,179.7225172511312,Intermediate Cool
1150,2603,0,J114W,J121G1,,L1,132.0,132.0,Non-transformer branch,-170.1030295531674,170.1030295531674,Intermediate Warm
1150,2603,0,J114W,J121G1,,L1,132.0,132.0,Non-transformer branch,-163.7617607466063,163.7617607466063,Summer
1151,2511,0,J114E,J78E,,L1,132.0,132.0,Non-transformer branch,-179.0911749267229,191.821,Winter
1151,2511,0,J114E,J78E,,L1,132.0,132.0,Non-transformer branch,-175.46212807085118,187.934,Intermediate Cool
1151,2511,0,J114E,J78E,,L1,132.0,132.0,Non-transformer branch,-166.07067391000382,177.875,Intermediate Warm
1151,2511,0,J114E,J78E,,L1,132.0,132.0,Non-transformer branch,-159.8797272412913,171.244,Summer
1151,2602,0,J114E,J121,,L1,132.0,132.0,Non-transformer branch,-191.821,179.0911749267229,Winter
1151,2602,0,J114E,J121,,L1,132.0,132.0,Non-transformer branch,-187.934,175.46212807085118,Intermediate Cool
1151,2602,0,J114E,J121,,L1,132.0,132.0,Non-transformer branch,-177.875,166.07067391000382,Intermediate Warm
1151,2602,0,J114E,J121,,L1,132.0,132.0,Non-transformer branch,-171.244,159.8797272412913,Summer
2509,2510,0,J66G1,J67E,,L1,132.0,132.0,Non-transformer branch,-191.821,178.53437649848127,Winter
2509,2510,0,J66G1,J67E,,L1,132.0,132.0,Non-transformer branch,-187.934,174.91661242963792,Intermediate Cool
2509,2510,0,J66G1,J67E,,L1,132.0,132.0,Non-transformer branch,-177.875,165.55435650771997,Intermediate Warm
2509,2510,0,J66G1,J67E,,L1,132.0,132.0,Non-transformer branch,-171.244,159.38265762927898,Summer
2510,2511,0,J67E,J78E,,L1,132.0,132.0,Non-transformer branch,-191.821,178.5424307337132,Winter
2510,2511,0,J67E,J78E,,L1,132.0,132.0,Non-transformer branch,-187.934,174.92450345639764,Intermediate Cool
2510,2511,0,J67E,J78E,,L1,132.0,132.0,Non-transformer branch,-177.875,165.56182517429912,Intermediate Warm
2510,2511,0,J67E,J78E,,L1,132.0,132.0,Non-transformer branch,-171.244,159.38984787152597,Summer
2602,2608,0,J121,J134N,,L1,132.0,132.0,Non-transformer branch,-72.92361099721424,191.821,Winter
2602,2608,0,J121,J134N,,L1,132.0,132.0,Non-transformer branch,-71.44591003670328,187.934,Intermediate Cool
2602,2608,0,J121,J134N,,L1,132.0,132.0,Non-transformer branch,-67.6218313225845,177.875,Intermediate Warm
2602,2608,0,J121,J134N,,L1,132.0,132.0,Non-transformer branch,-65.10095788056029,171.244,Summer
2602,522401,0,J121,82AE1S,,L1,132.0,132.0,Non-transformer branch,-158.67,133.80812406286074,Winter
2602,522401,0,J121,82AE1S,,L1,132.0,132.0,Non-transformer branch,-155.469,131.10868620362322,Intermediate Cool
2602,522401,0,J121,82AE1S,,L1,132.0,132.0,Non-transformer branch,-147.01,123.97512017697838,Intermediate Warm
2602,522401,0,J121,82AE1S,,L1,132.0,132.0,Non-transformer branch,-141.522,119.34703052640184,Summer
2603,2609,0,J121G1,J134S,,L1,132.0,132.0,Non-transformer branch,-91.65217151082025,191.821,Winter
2603,2609,0,J121G1,J134S,,L1,132.0,132.0,Non-transformer branch,-89.79496093083914,187.934,Intermediate Cool
2603,2609,0,J121G1,J134S,,L1,132.0,132.0,Non-transformer branch,-84.98876560693122,177.875,Intermediate Warm
2603,2609,0,J121G1,J134S,,L1,132.0,132.0,Non-transformer branch,-81.82047042919652,171.244,Summer
2603,522400,0,J121G1,82AE1N,,L1,132.0,132.0,Non-transformer branch,-158.67,77.48149163479337,Winter
2603,522400,0,J121G1,82AE1N,,L1,132.0,132.0,Non-transformer branch,-155.469,75.91838421232552,Intermediate Cool
2603,522400,0,J121G1,82AE1N,,L1,132.0,132.0,Non-transformer branch,-147.01,71.7876982746012,Intermediate Warm
2603,522400,0,J121G1,82AE1N,,L1,132.0,132.0,Non-transformer branch,-141.522,69.10780651124489,Summer
2606,5703,0,MANO6T,53L8045P47,,L1,66.0,66.0,Non-transformer branch,-11.4888,16.81777321861863,Winter
2606,5703,0,MANO6T,53L8045P47,,L1,66.0,66.0,Non-transformer branch,-11.248499999999998,16.466012294550488,Intermediate Cool
2606,5703,0,MANO6T,53L8045P47,,L1,66.0,66.0,Non-transformer branch,-10.631400000000001,15.56267618867263,Intermediate Warm
2606,5703,0,MANO6T,53L8045P47,,L1,66.0,66.0,Non-transformer branch,-10.219800000000001,14.960159349944178,Summer
2608,530007,0,J134N,ABGA1_103,,L1,132.0,132.0,Non-transformer branch,-96.47098380361892,255.838,Winter
2608,530007,0,J134N,ABGA1_103,,L1,132.0,132.0,Non-transformer branch,-90.52219495878005,240.062,Intermediate Cool
2608,530007,0,J134N,ABGA1_103,,L1,132.0,132.0,Non-transformer branch,-90.52219495878005,240.062,Intermediate Warm
