From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Node Number,Node Name,Sensitivity Factor MW
1151,2602,0,J114E,J121,,L1,1006,HDNK5G,-0.3637
1151,2602,0,J114E,J121,,L1,1150,J114W,-0.0316
1151,2602,0,J114E,J121,,L1,1151,J114E,-0.9602
1151,2602,0,J114E,J121,,L1,1152,LHIL6,-0.4644
1151,2602,0,J114E,J121,,L1,2509,J66G1,-0.9033
1151,2602,0,J114E,J121,,L1,2510,J67E,-0.9044
1151,2602,0,J114E,J121,,L1,2511,J78E,-0.9175
1151,2602,0,J114E,J121,,L1,2522,J78W,-0.0316
1151,2602,0,J114E,J121,,L1,2602,J121,0.0315
1151,2602,0,J114E,J121,,L1,2603,J121G1,-0.0316
1151,2602,0,J114E,J121,,L1,2606,MANO6T,-0.2776
1151,2602,0,J114E,J121,,L1,2607,MANO6G,-0.2776
1151,2602,0,J114E,J121,,L1,2608,J134N,0.0231
1151,2602,0,J114E,J121,,L1,2609,J134S,-0.0375
1151,2602,0,J114E,J121,,L1,4455,ABSY5,-0.4498
1151,2602,0,J114E,J121,,L1,4456,ABSY5G,-0.4498
1151,2602,0,J114E,J121,,L1,4461,BLAE5,-0.3782
1151,2602,0,J114E,J121,,L1,4462,BLAE5G,-0.3782
1151,2602,0,J114E,J121,,L1,4470,MONM5,-0.3637
1151,2602,0,J114E,J121,,L1,4471,MONM5G,-0.3637
1151,2602,0,J114E,J121,,L1,4482,USK_5,-0.4694
1151,2602,0,J114E,J121,,L1,4483,TCRT5G,-0.4573
1151,2602,0,J114E,J121,,L1,4484,LCAY5G,-0.4639
1151,2602,0,J114E,J121,,L1,4486,LHSE6T,-0.465
1151,2602,0,J114E,J121,,L1,4491,BREC5,-0.2274
1151,2602,0,J114E,J121,,L1,4492,BREC5G,-0.2274
1151,2602,0,J114E,J121,,L1,4498,61L9237P243,-0.2009
1151,2602,0,J114E,J121,,L1,4499,BBWF6G,-0.2009
1151,2602,0,J114E,J121,,L1,4500,BUIL5,-0.2194
1151,2602,0,J114E,J121,,L1,4501,BUIL5G,-0.2194
1151,2602,0,J114E,J121,,L1,4506,CABA5,-0.1924
1151,2602,0,J114E,J121,,L1,4507,CABA5G,-0.1924
1151,2602,0,J114E,J121,,L1,4509,CRIC5A,-0.2298
1151,2602,0,J114E,J121,,L1,4510,CRIC5AG,-0.2298
1151,2602,0,J114E,J121,,L1,4512,CRIC5B,-0.2298
1151,2602,0,J114E,J121,,L1,4513,CRIC5BG,-0.2298
1151,2602,0,J114E,J121,,L1,4521,GLAS5,-0.2238
1151,2602,0,J114E,J121,,L1,4522,GLAS5G,-0.2238
1151,2602,0,J114E,J121,,L1,4523,PMAW5G,-0.2174
1151,2602,0,J114E,J121,,L1,4527,LLDR5,-0.2163
1151,2602,0,J114E,J121,,L1,4532,61L8058P46,-0.2181
1151,2602,0,J114E,J121,,L1,4536,RHAY5,-0.2026
1151,2602,0,J114E,J121,,L1,4537,RHAY5G,-0.2026
1151,2602,0,J114E,J121,,L1,4542,61L9237P185,-0.2048
1151,2602,0,J114E,J121,,L1,4545,CRIT61,-0.2294
1151,2602,0,J114E,J121,,L1,4548,CRIT62,-0.2288
1151,2602,0,J114E,J121,,L1,4551,RHAY6T,-0.2123
1151,2602,0,J114E,J121,,L1,5703,53L8045P47,-0.2778
1151,2602,0,J114E,J121,,L1,5704,MONM6_3L9,-0.2778
1151,2602,0,J114E,J121,,L1,5705,53L8054P4B,-0.465
