substation,zone,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,delivered_mwh,curtailed_hours,binding_branch,n_sensitive_branches
ASHG,aberthaw-and-cardiff-east,PV,5,0.0,0,5564,5564,0,None,36
ASHG,aberthaw-and-cardiff-east,PV,10,3.63,404,11128,10725,794,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,PV,20,29.18,6495,22257,15762,3033,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,PV,30,45.81,15294,33385,18091,4092,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,PV,50,63.0,35053,55642,20589,5235,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,Wind,5,0.58,74,12642,12569,196,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,Wind,10,7.03,1779,25285,23506,1952,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,Wind,20,29.02,14674,50570,35896,5919,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,Wind,30,44.75,33943,75855,41911,8166,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,Wind,50,61.98,78363,126425,48062,10484,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,BESS,5,2.79,563,20203,19640,1093,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,BESS,10,20.85,8425,40406,31981,4639,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,BESS,20,41.37,33434,80812,47378,6200,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,BESS,30,51.8,62788,121219,58431,11299,ASHG3_2L5->CARN3_#10L5,36
ASHG,aberthaw-and-cardiff-east,BESS,50,67.97,137327,202031,64704,17535,ASHG3_2L5->CARN3_#10L5,36
BARY,aberthaw-and-cardiff-east,PV,5,66.44,3697,5564,1868,5283,CARW1_#110->CARW3_#1T0,39
