substation,zone,position_threshold,n_projects,queue_mw,PV_curtailment_pct,Wind_curtailment_pct,BESS_curtailment_pct
ASHG,aberthaw-and-cardiff-east,0,0,0,9.56,11.9,27.51
ASHG,aberthaw-and-cardiff-east,99,1,20,9.56,11.9,27.51
ASHG,aberthaw-and-cardiff-east,135,3,85,9.56,11.9,27.51
ASHG,aberthaw-and-cardiff-east,301,5,177,9.56,11.9,27.51
ASHG,aberthaw-and-cardiff-east,1707,7,237,9.56,11.9,27.51
ASHG,aberthaw-and-cardiff-east,1709,9,331,9.56,11.9,27.51
BARY,aberthaw-and-cardiff-east,0,0,0,0.08,0.37,2.95
BARY,aberthaw-and-cardiff-east,99,1,20,0.08,0.37,2.95
BARY,aberthaw-and-cardiff-east,135,3,85,0.08,0.37,2.95
BARY,aberthaw-and-cardiff-east,301,5,177,0.08,0.37,2.95
BARY,aberthaw-and-cardiff-east,1707,7,237,0.08,0.37,2.95
BARY,aberthaw-and-cardiff-east,1709,9,331,0.08,0.37,2.95
BOVE,aberthaw-and-cardiff-east,0,0,0,27.32,23.53,36.82
BOVE,aberthaw-and-cardiff-east,99,1,20,28.23,23.73,37.04
BOVE,aberthaw-and-cardiff-east,135,3,85,28.23,23.73,37.04
BOVE,aberthaw-and-cardiff-east,301,5,177,28.23,23.73,37.04
BOVE,aberthaw-and-cardiff-east,1707,7,237,28.23,23.73,37.04
BOVE,aberthaw-and-cardiff-east,1709,9,331,28.23,23.73,37.04
BRHI,aberthaw-and-cardiff-east,0,0,0,0.0,0.0,0.0
BRHI,aberthaw-and-cardiff-east,99,1,20,0.0,0.0,0.0
BRHI,aberthaw-and-cardiff-east,135,3,85,0.0,0.0,0.0
BRHI,aberthaw-and-cardiff-east,301,5,177,0.0,0.0,0.0
BRHI,aberthaw-and-cardiff-east,1707,7,237,0.0,0.0,0.0
BRHI,aberthaw-and-cardiff-east,1709,9,331,0.0,0.0,0.0
BROA,aberthaw-and-cardiff-east,0,0,0,0.01,0.09,2.12
BROA,aberthaw-and-cardiff-east,99,1,20,0.01,0.09,2.12
BROA,aberthaw-and-cardiff-east,135,3,85,0.01,0.09,2.12
BROA,aberthaw-and-cardiff-east,301,5,177,0.01,0.09,2.12
