substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
ASHG,PV,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
ASHG,PV,10,0.0,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,PV,20,9.56,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,PV,30,25.33,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,PV,50,46.01,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
ASHG,Wind,10,0.44,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,Wind,20,11.9,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,Wind,30,27.25,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,Wind,50,47.57,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,BESS,5,0.0,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,BESS,10,1.95,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,BESS,20,27.51,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,BESS,30,38.7,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
ASHG,BESS,50,51.94,ASHG3_1L5->HEAT3_#4L5,Moderate,Branch active (mean 2.2 MW) but no generation residual available,,11.571160430038358,,,
BARY,PV,5,0.01,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,PV,10,0.04,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,PV,20,0.08,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,PV,30,3.39,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,PV,50,20.67,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,Wind,5,0.21,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,Wind,10,0.3,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,Wind,20,0.37,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,Wind,30,5.03,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,Wind,50,23.46,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,BESS,5,0.82,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,BESS,10,0.93,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,BESS,20,2.95,PENA3_#1L5->PENA3_2L9,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,23.092,,,
BARY,BESS,30,21.57,51L7662P1->BARY3_#3L5,Very Low,Branch reads zero 98% of time — likely disconnected or unmonitored,,23.492,,,
BARY,BESS,50,37.35,51L7662P1->BARY3_#3L5,Very Low,Branch reads zero 98% of time — likely disconnected or unmonitored,,23.492,,,
BOVE,PV,5,4.92,51L7074P26->51L7074P65,Moderate,Branch active (mean 2.0 MW) but no generation residual available,,18.81271018061619,,,
BOVE,PV,10,8.49,56L7076P11->56L7076P58,Moderate,Branch active (mean 2.0 MW) but no generation residual available,,16.176,,,
BOVE,PV,20,28.23,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,PV,30,42.71,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,PV,50,59.22,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,Wind,5,0.71,51L7074P26->51L7074P65,Moderate,Branch active (mean 2.0 MW) but no generation residual available,,18.81271018061619,,,
BOVE,Wind,10,1.79,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,Wind,20,23.73,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,Wind,30,41.04,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,Wind,50,59.91,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,BESS,5,0.88,51L7074P26->51L7074P65,Moderate,Branch active (mean 2.0 MW) but no generation residual available,,18.81271018061619,,,
BOVE,BESS,10,12.78,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,BESS,20,37.04,56L7076P11->56L7076P58,Moderate,Branch active (mean 2.0 MW) but no generation residual available,,16.176,,,
BOVE,BESS,30,46.72,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BOVE,BESS,50,66.61,BOVE3_MAIN1->56L7076P58,Moderate,Branch active (mean 2.3 MW) but no generation residual available,,5.954460431113899,,,
BRHI,PV,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,PV,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,PV,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,PV,30,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,PV,50,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,Wind,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,Wind,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,Wind,30,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,Wind,50,0.0,STTN3T->JESU3T,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,13.237799999999998,,,
BRHI,BESS,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,BESS,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,BESS,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,BESS,30,0.0,,N/A,No curtailment — no binding constraint,,,,,
BRHI,BESS,50,0.39,STTN3T->JESU3T,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,13.237799999999998,,,
BROA,PV,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
BROA,PV,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
BROA,PV,20,0.01,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,PV,30,4.55,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,PV,50,22.02,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
BROA,Wind,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
BROA,Wind,20,0.09,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,Wind,30,4.26,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,Wind,50,23.05,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,BESS,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
BROA,BESS,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
BROA,BESS,20,2.12,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
BROA,BESS,30,20.5,BRHI3_#4L5->BROA3_2L3,Moderate,Branch active (mean 2.1 MW) but no generation residual available,,19.034,,,
