substation,zone,technology,capacity_mw,my_position,position_label,n_projects_ahead,curtailment_pct,curtailed_mwh,total_mwh
ASHG,aberthaw-and-cardiff-east,PV,20,99,#99,0,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,129,#129,1,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,139,#139,3,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,353,#353,5,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,1709,#1709,8,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,PV,20,9999,Last,9,9.56,2129,22257
ASHG,aberthaw-and-cardiff-east,Wind,20,99,#99,0,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,129,#129,1,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,139,#139,3,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,353,#353,5,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,1709,#1709,8,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,Wind,20,9999,Last,9,11.9,6016,50570
ASHG,aberthaw-and-cardiff-east,BESS,20,99,#99,0,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,129,#129,1,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,139,#139,3,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,353,#353,5,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,1709,#1709,8,27.51,22230,80812
ASHG,aberthaw-and-cardiff-east,BESS,20,9999,Last,9,27.51,22230,80812
BARY,aberthaw-and-cardiff-east,PV,20,99,#99,0,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,129,#129,1,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,139,#139,3,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,353,#353,5,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,1709,#1709,8,0.08,17,22257
BARY,aberthaw-and-cardiff-east,PV,20,9999,Last,9,0.08,17,22257
BARY,aberthaw-and-cardiff-east,Wind,20,99,#99,0,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,129,#129,1,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,139,#139,3,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,353,#353,5,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,1709,#1709,8,0.37,188,50570
BARY,aberthaw-and-cardiff-east,Wind,20,9999,Last,9,0.37,188,50570
BARY,aberthaw-and-cardiff-east,BESS,20,99,#99,0,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,129,#129,1,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,139,#139,3,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,353,#353,5,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,1709,#1709,8,2.95,2383,80812
BARY,aberthaw-and-cardiff-east,BESS,20,9999,Last,9,2.95,2383,80812
BOVE,aberthaw-and-cardiff-east,PV,20,99,#99,0,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,129,#129,1,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,139,#139,3,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,353,#353,5,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,1709,#1709,8,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,PV,20,9999,Last,9,28.23,6284,22257
BOVE,aberthaw-and-cardiff-east,Wind,20,99,#99,0,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,129,#129,1,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,139,#139,3,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,353,#353,5,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,1709,#1709,8,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,Wind,20,9999,Last,9,23.73,11998,50570
BOVE,aberthaw-and-cardiff-east,BESS,20,99,#99,0,37.04,29936,80812
BOVE,aberthaw-and-cardiff-east,BESS,20,129,#129,1,37.04,29936,80812
BOVE,aberthaw-and-cardiff-east,BESS,20,139,#139,3,37.04,29936,80812
BOVE,aberthaw-and-cardiff-east,BESS,20,353,#353,5,37.04,29936,80812
BOVE,aberthaw-and-cardiff-east,BESS,20,1709,#1709,8,37.04,29936,80812
BOVE,aberthaw-and-cardiff-east,BESS,20,9999,Last,9,37.04,29936,80812
BRHI,aberthaw-and-cardiff-east,PV,20,99,#99,0,0.0,0,22257
BRHI,aberthaw-and-cardiff-east,PV,20,129,#129,1,0.0,0,22257
BRHI,aberthaw-and-cardiff-east,PV,20,139,#139,3,0.0,0,22257
BRHI,aberthaw-and-cardiff-east,PV,20,353,#353,5,0.0,0,22257
BRHI,aberthaw-and-cardiff-east,PV,20,1709,#1709,8,0.0,0,22257
BRHI,aberthaw-and-cardiff-east,PV,20,9999,Last,9,0.0,0,22257
BRHI,aberthaw-and-cardiff-east,Wind,20,99,#99,0,0.0,0,50570
BRHI,aberthaw-and-cardiff-east,Wind,20,129,#129,1,0.0,0,50570
BRHI,aberthaw-and-cardiff-east,Wind,20,139,#139,3,0.0,0,50570
BRHI,aberthaw-and-cardiff-east,Wind,20,353,#353,5,0.0,0,50570
BRHI,aberthaw-and-cardiff-east,Wind,20,1709,#1709,8,0.0,0,50570
BRHI,aberthaw-and-cardiff-east,Wind,20,9999,Last,9,0.0,0,50570
BRHI,aberthaw-and-cardiff-east,BESS,20,99,#99,0,0.0,0,80812
BRHI,aberthaw-and-cardiff-east,BESS,20,129,#129,1,0.0,0,80812
BRHI,aberthaw-and-cardiff-east,BESS,20,139,#139,3,0.0,0,80812
BRHI,aberthaw-and-cardiff-east,BESS,20,353,#353,5,0.0,0,80812
BRHI,aberthaw-and-cardiff-east,BESS,20,1709,#1709,8,0.0,0,80812
BRHI,aberthaw-and-cardiff-east,BESS,20,9999,Last,9,0.0,0,80812
BROA,aberthaw-and-cardiff-east,PV,20,99,#99,0,0.01,3,22257
