flow_file,gcr_name,cim_code,voltage_kv,display_name,n_transformers_ltds,total_nominal_mva,total_emergency_mva,ratings_detail,n_transformers_flow,peak_import_mw,peak_import_mva,mean_import_mw,p95_import_mw,min_import_mw,peak_demand_mw,mean_demand_mw,peak_gen_mw,mean_gen_mw,n_timestamps,date_from,date_to,connected_mva,accepted_mva,offered_mva,enquired_mva,technology,total_committed_mva,headroom_mva,utilisation_pct,net_exporter,headroom_flag
abergavenny-66kv,Abergavenny,ABGA,66,Abergavenny,2,120.0,180.0,60 + 60,2,53.431,60.7738165991,21.889389788251364,39.04149999999998,0.0,54.509,26.791579792805102,18.404,4.902190004553735,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,63.72453,16.0016,85.938,10.124540000000001,Solar,79.72613,40.27387,44.5,False,Moderate
ammanford-33kv,Ammanford Grid,AMMA,33,Ammanford,2,90.0,150.0,60 + 30,2,41.83,42.066740422500004,19.275613900273225,30.726499999999977,-25.700000000000003,45.0276,22.755885698428962,19.9423,3.480271798155738,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,77.10754,21.778,2.549,0.7200799999999999,Solar,98.88553999999999,-8.885539999999992,46.5,False,Overcommitted
bridgend-33kv,Bridgend Grid,BREN,33,Bridgend,2,52.5,105.0,22 + 30,2,29.1761187253,29.1761187253,22.431041355454063,29.0263309716,3.12e-08,43.3023309716,24.551683033505068,14.276,2.1206416780510016,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,23.22274,17.77,0.0,0.05636,Solar,40.99274,11.507260000000002,55.6,False,Tight
briton-ferry-33kv,Briton Ferry Grid,BRIF,33,Briton Ferry,2,120.0,180.0,60 + 60,2,56.67,170.3660401568,28.942112135701276,45.80649999999998,-93.75,58.787,35.39408652094718,35.112,6.451974385245901,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,53.99006,26.7525,0.144,0.79488,Mixed,80.74256,39.25744,47.2,False,Moderate
brynhill-33kv,Barry Grid,BARR,33,Brynhill,2,60.0,120.0,30 + 30,2,25.4481693008,25.4505760398,12.93808714125082,20.12333780542,-7.2750162606,25.4481693008,13.307675426769947,2.85,0.36958828551912565,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,50.239580000000004,0.45,0.4,1.051,Solar,50.68958000000001,9.310419999999993,42.4,False,Tight
cardiff-central-33kv,Cardiff Central Grid,CARC,33,Cardiff Central,2,105.0,180.0,60 + 45,1,45.86,322.9498091035,19.616708674863386,29.24,-228.36,47.23883,19.9361234511612,10.22942,0.31941477629781423,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,1.34978,0.0,0.0,0.0,Fossil,1.34978,103.65022,43.7,False,Available
cardiff-east-33kv,Cardiff East Grid Bsp,CARE,33,Cardiff East,2,120.0,180.0,60 + 60,2,76.30000000000001,76.48298322989999,44.84008922291972,63.08,-58.83,76.30000000000001,45.39056076208183,4.338,0.550471539162113,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,15.80754,93.9,0.0,0.676,Battery,109.70754000000001,10.292459999999991,63.6,False,Tight
cardiff-north-33kv,Cardiff North Grid,CARN,33,Cardiff North,2,105.0,180.0,60 + 45,1,41.32,41.8264139032,21.873961236338797,29.74,-26.82,41.32,21.873961236338797,,,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,4.21234,0.149,0.0,0.0,Solar,4.36134,100.63866,39.4,False,Available
cardiff-west-33kv,Cardiff West Grid,CARW,33,Cardiff West,2,120.0,180.0,60 + 60,2,95.93,95.93552999580001,39.571644835396945,67.42,-52.489999999999995,96.88421,40.33499201265104,24.44658,0.7633471772540984,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,14.13046,15.0524,2.345,0.794,Solar,29.182859999999998,90.81714,79.9,False,Available
carmarthen-33kv,Carmarthen Grid,CARM,33,Carmarthen,2,45.0,90.0,22 + 22,2,44.51,47.497868581199995,16.541996357012753,28.560000000000002,-24.98,49.38476,19.82339548098816,18.80274,3.28139912397541,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,42.253879999999995,11.2334,10.151,0.97468,Solar,53.48728,-8.487279999999998,98.9,False,Overcommitted
crumlin-33kv,Crumlin,CRUM,33,Crumlin,2,90.0,180.0,45 + 45,2,22.118427461,22.1253898054,12.753338680963342,18.054251952629997,-2.6426150702,22.461427461,13.367313066209244,2.272,0.6139743852459016,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,70.34586999999999,61.216,1.141,0.2,Onshore Wind,131.56187,-41.56187,24.6,False,Overcommitted
dowlais-33kv,Dowlais Grid,DOWL,33,Dowlais,2,45.0,90.0,22 + 22,2,12.7305149516,12.7363050738,4.36762215003865,6.264860846419999,-0.7581284998,13.0085149516,4.706114465612421,1.403,0.3384923155737705,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,69.30878999999999,52.009,0.0,0.2,Onshore Wind,121.31778999999999,-76.31778999999999,28.3,False,Overcommitted
east-aberthaw-33kv,East Aberthaw,EAST,33,East Aberthaw,2,82.5,135.0,60 + 22,2,14.1272,15.3730437324,6.971922973588343,11.2254,-5.7756,14.4102,7.258414321493626,0.906,0.2864913479052823,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,30.86771,22.000799999999998,1.44,0.805,Solar,52.86851,29.63149,17.1,False,Moderate
ebbw-vale-33kv,Ebbw Vale,EBBW,33,Ebbw Vale,2,120.0,180.0,60 + 60,2,24.560095063,24.5602253554,7.747291456803871,11.6134455069,-2.7210824134,24.997095063,7.965021363452323,0.528,0.2177299066484517,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,26.74202,51.26,3.4162399999999997,0.26,Solar,78.00202,41.99798,20.5,False,Moderate
golden-hill-33kv,Golden Hill Grid,GOLD,33,Golden Hill,2,120.0,180.0,60 + 60,2,27.68,28.7289682797,7.421705601092896,18.69,-28.5,28.3562,12.281712374772313,28.2106,4.860006773679417,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,61.42251,21.884,0.0,0.1062,Solar,83.30651,36.69349,23.1,False,Moderate
gowerton-east-33kv,Gowerton East Grid,GOWE,33,Gowerton East,1,22.5,45.0,22,1,7.14,7.2434798267,2.9408891165755926,4.37,-0.31,7.14,2.9408891165755926,,,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,,,,,,0.0,22.5,31.7,False,Moderate
grange-66kv,Grange Bsp,MAGA,66,Grange,2,45.0,90.0,22 + 22,2,112.97,127.3337574818,37.88860718351548,78.84,-53.53,122.152,56.058400785519126,81.18,18.16979360200364,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,108.594,22.277,0.03,0.2024,Onshore Wind,130.87099999999998,-85.87099999999998,251.0,False,Overcommitted
haverfordwest-33kv,Haverfordwest Grid,HAVE,33,Haverfordwest,2,120.0,180.0,60 + 60,2,35.0375,74.59490385250001,-9.910062684995445,13.683124999999972,-39.9,122.57854,6.75414183458561,95.91604,16.664204519581055,17568,2022-03-31 00:30:00,2023-04-01 00:00:00,147.42472,24.08668,4.45368,0.66738,Solar,171.5114,-51.51140000000001,29.2,True,Overcommitted
