Licence Area,GSP,TANM,DANM,Status,Bus Number,Bus Name,Site ID,Application ID,Site Export Capacity (MW),Site Import Capacity (MW),Machine Export Capacity (MW),Machine Import Capacity (MW),Fuel type,Machine ID,Position
South Wales,Swansea North Grid,True,False,Recently Connected,2905,BRHY3G,145,1,30.0,0.0,30.0,,Solar,PA,0
South Wales,Swansea North Grid,True,False,Recently Connected,2067,BFGF3G1,139,1,21.7,0.0,21.7,,Other,OA,0
South Wales,Swansea North Grid,False,False,Recently Connected,3169,TIRL7G,520,1,0.63,0.0,0.63,,Other,R1,0
South Wales,Swansea North Grid,False,False,Accepted not yet Connected,538101,HIRW3_MAIN2,225,1,15.0,2.0,15.0,,Other,OA,1
South Wales,Swansea North Grid,False,False,Accepted not yet Connected,3594,LAMP5,160,1,5.0,0.1,5.0,,Wind,WA,4
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,538101,HIRW3_MAIN2,66,1,14.1,0.17,14.1,,Wind,WA,13
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,3710,MYNG3G,40,1,4.7,0.1,4.7,,Solar,PA,35
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,541400,BRIF3_MAIN1,433,1,26.0,0.25,30.0,,Wind,WA,42
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,547201,SWAN3_MAIN2,482,1,30.0,0.3,30.0,,Solar,PA,76
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,3260,52L6067P19,191,1,15.0,0.2,16.5,,Solar,PA,111
South Wales,Swansea North Grid,True,True,Accepted not yet Connected,544700,GARN3_MAIN1,274,1,15.45,0.1,17.6,,Solar,PA,172
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,3168,TIRJ7,49,1,2.5,0.1,2.5,,Solar,PA,197
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,575100,LAMP3_MAIN1,628,1,25.2,0.5,25.2,,Wind,WA,216
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,4264,HIRW5G,363,1,7.6,0.045,7.6,,Solar,PA,229
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,539301,TRAV3_MAIN2,525,1,15.0,0.6,15.0,,Solar,PA,235
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,554000,SWAW1_MAIN1,475,1,44.0,44.0,44.0,,Solar,PA,253
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,554000,SWAW1_MAIN1,475,1,44.0,44.0,44.0,,BESS,BA,253
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,3298,WNGF3G,629,1,20.0,0.5,20.0,,Other,GA,428
South Wales,Swansea North Grid,False,False,Accepted not yet Connected,3615,LLAN5,37,1,0.949,0.02,0.949,,Wind,WA,688
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,537818,TROS3_MAIN1,479,1,26.0,0.2,26.3,,Solar,PA,1784
South Wales,Swansea North Grid,True,False,Accepted not yet Connected,550041,SWAN1_MAIN2,591,1,49.9,0.75,49.9,,Wind,WA,1785
