From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
1118,3288,0,52L6061P35W,LIME3T,,L1,33.0,33.0,Non-transformer branch,-22.749,10.243164522431186,Winter
1118,3288,0,52L6061P35W,LIME3T,,L1,33.0,33.0,Non-transformer branch,-22.291,10.03694142026083,Intermediate Cool
1118,3288,0,52L6061P35W,LIME3T,,L1,33.0,33.0,Non-transformer branch,-21.091,9.49661888182321,Intermediate Warm
1118,3288,0,52L6061P35W,LIME3T,,L1,33.0,33.0,Non-transformer branch,-20.291,9.136403856198129,Summer
1120,2162,0,52L6061P35E,GLWI3T,,L1,33.0,33.0,Non-transformer branch,-10.242977473945205,22.749,Winter
1120,2162,0,52L6061P35E,GLWI3T,,L1,33.0,33.0,Non-transformer branch,-10.03675813757583,22.291,Intermediate Cool
1120,2162,0,52L6061P35E,GLWI3T,,L1,33.0,33.0,Non-transformer branch,-9.49644546586568,21.091,Intermediate Warm
1120,2162,0,52L6061P35E,GLWI3T,,L1,33.0,33.0,Non-transformer branch,-9.136237018058912,20.291,Summer
2053,5772,0,PNYC3T,PCSN3_1L9,,L1,33.0,33.0,Non-transformer branch,-32.637,32.637,Winter
2053,5772,0,PNYC3T,PCSN3_1L9,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Cool
2053,5772,0,PNYC3T,PCSN3_1L9,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Warm
2053,5772,0,PNYC3T,PCSN3_1L9,,L1,33.0,33.0,Non-transformer branch,-29.093,29.093,Summer
2053,535400,0,PNYC3T,PNYC3_#1L5,,L1,33.0,33.0,Non-transformer branch,-32.637,32.637,Winter
2053,535400,0,PNYC3T,PNYC3_#1L5,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Cool
2053,535400,0,PNYC3T,PNYC3_#1L5,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Warm
2053,535400,0,PNYC3T,PNYC3_#1L5,,L1,33.0,33.0,Non-transformer branch,-29.093,29.093,Summer
2053,535500,0,PNYC3T,SRON3_#1L5,,L1,33.0,33.0,Non-transformer branch,-32.637,32.637,Winter
2053,535500,0,PNYC3T,SRON3_#1L5,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Cool
2053,535500,0,PNYC3T,SRON3_#1L5,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Warm
2053,535500,0,PNYC3T,SRON3_#1L5,,L1,33.0,33.0,Non-transformer branch,-29.093,29.093,Summer
2101,505405,0,LAMP1T,RHOS1_303,,L1,132.0,132.0,Non-transformer branch,-136.95,114.42830885729337,Winter
2101,505405,0,LAMP1T,RHOS1_303,,L1,132.0,132.0,Non-transformer branch,-135.121,112.90009142830479,Intermediate Cool
2101,505405,0,LAMP1T,RHOS1_303,,L1,132.0,132.0,Non-transformer branch,-130.777,109.27047059094747,Intermediate Warm
2101,505405,0,LAMP1T,RHOS1_303,,L1,132.0,132.0,Non-transformer branch,-127.805,106.78722171235036,Summer
2101,546402,0,LAMP1T,LAMP1_103,,L1,132.0,132.0,Non-transformer branch,-92.81198952211457,136.95,Winter
2101,546402,0,LAMP1T,LAMP1_103,,L1,132.0,132.0,Non-transformer branch,-91.5724632071387,135.121,Intermediate Cool
2101,546402,0,LAMP1T,LAMP1_103,,L1,132.0,132.0,Non-transformer branch,-88.62850349568147,130.777,Intermediate Warm
2101,546402,0,LAMP1T,LAMP1_103,,L1,132.0,132.0,Non-transformer branch,-86.61435794723515,127.805,Summer
2101,546700,0,LAMP1T,RHYD1_&105,,L1,132.0,132.0,Non-transformer branch,-87.81059418991946,109.743,Winter
2101,546700,0,LAMP1T,RHYD1_&105,,L1,132.0,132.0,Non-transformer branch,-85.9806567095121,107.456,Intermediate Cool
2101,546700,0,LAMP1T,RHYD1_&105,,L1,132.0,132.0,Non-transformer branch,-81.22457958509521,101.512,Intermediate Warm
2101,546700,0,LAMP1T,RHYD1_&105,,L1,132.0,132.0,Non-transformer branch,-78.29763979352104,97.854,Summer
2102,5801,0,HNDR3T,55L6122P28A,,L1,33.0,33.0,Non-transformer branch,-25.207,25.207,Winter
2102,5801,0,HNDR3T,55L6122P28A,,L1,33.0,33.0,Non-transformer branch,-24.635,24.635,Intermediate Cool
2102,5801,0,HNDR3T,55L6122P28A,,L1,33.0,33.0,Non-transformer branch,-23.32,23.32,Intermediate Warm
