GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Swansea North,954409,954722,95485,SWAN4_710,SWAN1_SGT7,SWAN8F,S7,Winter,-380.5,515.6,,660.0
Swansea North,954409,954722,95485,SWAN4_710,SWAN1_SGT7,SWAN8F,S7,Intermediate Cool,-341.1,515.6,,660.0
Swansea North,954409,954722,95485,SWAN4_710,SWAN1_SGT7,SWAN8F,S7,Intermediate Warm,-341.1,515.6,,660.0
Swansea North,954409,954722,95485,SWAN4_710,SWAN1_SGT7,SWAN8F,S7,Summer,-372.1,515.6,,660.0
Swansea North,954417,954717,95484,SWAN4_610,SWAN1_SGT6,SWAN8E,S6,Winter,-380.5,515.6,,660.0
Swansea North,954417,954717,95484,SWAN4_610,SWAN1_SGT6,SWAN8E,S6,Intermediate Cool,-341.1,515.6,,660.0
Swansea North,954417,954717,95484,SWAN4_610,SWAN1_SGT6,SWAN8E,S6,Intermediate Warm,-341.1,515.6,,660.0
Swansea North,954417,954717,95484,SWAN4_610,SWAN1_SGT6,SWAN8E,S6,Summer,-372.1,515.6,,660.0
Swansea North,954428,954712,95483,SWAN4_SGT5,SWAN1_SGT5,SWAN8D,S5,Winter,-380.5,515.6,,660.0
Swansea North,954428,954712,95483,SWAN4_SGT5,SWAN1_SGT5,SWAN8D,S5,Intermediate Cool,-341.1,515.6,,660.0
Swansea North,954428,954712,95483,SWAN4_SGT5,SWAN1_SGT5,SWAN8D,S5,Intermediate Warm,-341.1,515.6,,660.0
Swansea North,954428,954712,95483,SWAN4_SGT5,SWAN1_SGT5,SWAN8D,S5,Summer,-372.1,515.6,,660.0
Swansea North,954605,954705,95481,SWAN2_H43B,SWAN1_SGT4B,SWAN8B,4B,Winter,-380.5,515.6,,660.0
Swansea North,954605,954705,95481,SWAN2_H43B,SWAN1_SGT4B,SWAN8B,4B,Intermediate Cool,-341.1,515.6,,660.0
Swansea North,954605,954705,95481,SWAN2_H43B,SWAN1_SGT4B,SWAN8B,4B,Intermediate Warm,-341.1,515.6,,660.0
Swansea North,954605,954705,95481,SWAN2_H43B,SWAN1_SGT4B,SWAN8B,4B,Summer,-372.1,515.6,,660.0
