substation,zone,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,delivered_mwh,curtailed_hours,binding_branch,n_sensitive_branches
ABAE,swansea-north,PV,5,0.0,0,5564,5564,0,None,44
ABAE,swansea-north,PV,10,0.09,10,11128,11118,40,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,PV,20,15.46,3440,22257,18817,1945,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,PV,30,32.19,10746,33385,22639,3151,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,PV,50,52.05,28961,55642,26681,4396,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,Wind,5,0.0,0,12642,12642,0,None,44
ABAE,swansea-north,Wind,10,0.1,25,25285,25260,129,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,Wind,20,18.3,9252,50570,41318,4593,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,Wind,30,35.39,26843,75855,49012,7043,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,Wind,50,55.12,69689,126425,56735,9679,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,BESS,5,0.0,0,20203,20203,0,None,44
ABAE,swansea-north,BESS,10,6.87,2775,40406,37631,4918,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,BESS,20,33.87,27370,80812,53443,4919,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,BESS,30,42.87,51966,121219,69253,4926,ABAE3_1L3->LLAN3_2L5,44
ABAE,swansea-north,BESS,50,60.95,123132,202031,78899,17568,ABAE3_1L3->LLAN3_2L5,44
ABDA,swansea-north,PV,5,0.41,23,5564,5542,21,HIRW3_2L5->HNDR3T,38
ABDA,swansea-north,PV,10,0.67,75,11128,11053,40,HIRW3_2L5->HNDR3T,38
ABDA,swansea-north,PV,20,6.54,1456,22257,20801,1063,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,PV,30,21.15,7061,33385,26325,2413,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,PV,50,42.41,23599,55642,32043,3832,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,Wind,5,0.08,10,12642,12633,12,HIRW3_2L5->HNDR3T,38
ABDA,swansea-north,Wind,10,0.12,30,25285,25255,35,HIRW3_2L5->HNDR3T,38
ABDA,swansea-north,Wind,20,8.37,4233,50570,46337,2645,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,Wind,30,23.01,17453,75855,58401,5163,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,Wind,50,43.62,55152,126425,71273,8030,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,BESS,5,0.04,7,20203,20196,13,HIRW3_2L5->HNDR3T,38
ABDA,swansea-north,BESS,10,0.91,366,40406,40040,758,HIRW3_1L5->55L7043P59,38
ABDA,swansea-north,BESS,20,24.7,19960,80812,60853,4941,ABDA3_1L5->55L7043P59,38
ABDA,swansea-north,BESS,30,36.8,44606,121219,76613,5002,ABDA3_1L5->55L7043P59,38
ABDA,swansea-north,BESS,50,48.8,98598,202031,103433,11336,HIRW3_1L5->55L7043P59,38
ABEC,swansea-north,PV,5,0.0,0,5564,5564,0,None,35
ABEC,swansea-north,PV,10,0.0,0,11128,11128,0,None,35
ABEC,swansea-north,PV,20,0.0,0,22257,22257,0,None,35
ABEC,swansea-north,PV,30,0.64,214,33385,33172,166,HNDR3T->ABEP3_2L3,35
ABEC,swansea-north,PV,50,10.21,5683,55642,49959,1388,HNDR3T->ABEP3_2L3,35
ABEC,swansea-north,Wind,5,0.0,0,12642,12642,0,None,35
ABEC,swansea-north,Wind,10,0.0,0,25285,25285,0,None,35
ABEC,swansea-north,Wind,20,0.0,0,50570,50570,0,None,35
ABEC,swansea-north,Wind,30,0.03,20,75855,75835,56,ABEC3_2L5->TRAV3_#1L5,35
ABEC,swansea-north,Wind,50,10.98,13885,126425,112540,3483,ABEC3_2L5->TRAV3_#1L5,35
ABEC,swansea-north,BESS,5,0.0,0,20203,20203,0,None,35
ABEC,swansea-north,BESS,10,0.0,0,40406,40406,0,None,35
ABEC,swansea-north,BESS,20,0.0,0,80812,80812,0,None,35
ABEC,swansea-north,BESS,30,7.78,9425,121219,111794,4892,ABEC3_2L5->TRAV3_#1L5,35
ABEC,swansea-north,BESS,50,29.01,58611,202031,143420,4919,HNDR3T->ABEP3_2L3,35
ABYS,swansea-north,PV,5,0.0,0,5564,5564,0,None,27
ABYS,swansea-north,PV,10,0.0,0,11128,11128,0,None,27
ABYS,swansea-north,PV,20,0.0,0,22257,22257,0,None,27
ABYS,swansea-north,PV,30,0.0,0,33385,33385,0,None,27
ABYS,swansea-north,PV,50,0.0,0,55642,55642,0,None,27
ABYS,swansea-north,Wind,5,0.0,0,12642,12642,0,None,27
ABYS,swansea-north,Wind,10,0.0,0,25285,25285,0,None,27
ABYS,swansea-north,Wind,20,0.0,0,50570,50570,0,None,27
ABYS,swansea-north,Wind,30,0.0,0,75855,75855,0,None,27
ABYS,swansea-north,Wind,50,0.0,0,126425,126425,0,None,27
ABYS,swansea-north,BESS,5,0.0,0,20203,20203,0,None,27
ABYS,swansea-north,BESS,10,0.0,0,40406,40406,0,None,27
ABYS,swansea-north,BESS,20,0.0,0,80812,80812,0,None,27
ABYS,swansea-north,BESS,30,0.0,0,121219,121219,0,None,27
ABYS,swansea-north,BESS,50,0.0,0,202031,202031,0,None,27
ADVY,swansea-north,PV,5,0.0,0,5564,5564,0,None,27
ADVY,swansea-north,PV,10,0.0,0,11128,11128,0,None,27
ADVY,swansea-north,PV,20,0.0,0,22257,22257,0,None,27
ADVY,swansea-north,PV,30,0.0,0,33385,33385,0,None,27
ADVY,swansea-north,PV,50,0.0,0,55642,55642,0,None,27
ADVY,swansea-north,Wind,5,0.0,0,12642,12642,0,None,27
ADVY,swansea-north,Wind,10,0.0,0,25285,25285,0,None,27
ADVY,swansea-north,Wind,20,0.0,0,50570,50570,0,None,27
ADVY,swansea-north,Wind,30,0.0,0,75855,75855,0,None,27
ADVY,swansea-north,Wind,50,0.0,0,126425,126425,0,None,27
ADVY,swansea-north,BESS,5,0.0,0,20203,20203,0,None,27
ADVY,swansea-north,BESS,10,0.0,0,40406,40406,0,None,27
ADVY,swansea-north,BESS,20,0.0,0,80812,80812,0,None,27
ADVY,swansea-north,BESS,30,0.0,0,121219,121219,0,None,27
ADVY,swansea-north,BESS,50,0.0,0,202031,202031,0,None,27
ALCO,swansea-north,PV,5,0.0,0,5564,5564,0,None,30
ALCO,swansea-north,PV,10,0.0,0,11128,11128,0,None,30
ALCO,swansea-north,PV,20,0.0,0,22257,22257,0,None,30
ALCO,swansea-north,PV,30,0.0,0,33385,33385,0,None,30
ALCO,swansea-north,PV,50,0.46,256,55642,55386,191,GOWE1_113->GOWE3_#1T0,30
ALCO,swansea-north,Wind,5,0.0,0,12642,12642,0,None,30
ALCO,swansea-north,Wind,10,0.0,0,25285,25285,0,None,30
ALCO,swansea-north,Wind,20,0.0,0,50570,50570,0,None,30
ALCO,swansea-north,Wind,30,0.0,0,75855,75855,0,None,30
ALCO,swansea-north,Wind,50,0.99,1253,126425,125171,812,GOWE1_113->GOWE3_#1T0,30
ALCO,swansea-north,BESS,5,0.0,0,20203,20203,0,None,30
ALCO,swansea-north,BESS,10,0.0,0,40406,40406,0,None,30
ALCO,swansea-north,BESS,20,0.0,0,80812,80812,0,None,30
ALCO,swansea-north,BESS,30,0.0,0,121219,121219,0,None,30
ALCO,swansea-north,BESS,50,10.58,21383,202031,180649,4303,GOWE1_113->GOWE3_#1T0,30
Ammanford,swansea-north,PV,5,0.0,0,5564,5564,0,None,17
Ammanford,swansea-north,PV,10,0.0,0,11128,11128,0,None,17
Ammanford,swansea-north,PV,20,0.0,0,22257,22257,0,None,17
Ammanford,swansea-north,PV,30,0.0,0,33385,33385,0,None,17
Ammanford,swansea-north,PV,50,0.0,0,55642,55642,0,None,17
Ammanford,swansea-north,Wind,5,0.0,0,12642,12642,0,None,17
Ammanford,swansea-north,Wind,10,0.0,0,25285,25285,0,None,17
Ammanford,swansea-north,Wind,20,0.0,0,50570,50570,0,None,17
Ammanford,swansea-north,Wind,30,0.0,0,75855,75855,0,None,17
Ammanford,swansea-north,Wind,50,0.0,0,126425,126425,0,None,17
Ammanford,swansea-north,BESS,5,0.0,0,20203,20203,0,None,17
Ammanford,swansea-north,BESS,10,0.0,0,40406,40406,0,None,17
Ammanford,swansea-north,BESS,20,0.0,0,80812,80812,0,None,17
Ammanford,swansea-north,BESS,30,0.0,0,121219,121219,0,None,17
Ammanford,swansea-north,BESS,50,0.0,0,202031,202031,0,None,17
BISH,swansea-north,PV,5,0.18,10,5564,5554,62,SWAW3_#2T0->SWAW1_213,35
BISH,swansea-north,PV,10,0.27,30,11128,11098,79,SWAW3_#2T0->SWAW1_213,35
BISH,swansea-north,PV,20,14.28,3179,22257,19077,1982,BISH3_#2L5->52L6001P11,35
BISH,swansea-north,PV,30,31.47,10506,33385,22880,3241,BISH3_#2L5->52L6001P11,35
BISH,swansea-north,PV,50,51.85,28849,55642,26793,4552,BISH3_#2L5->52L6001P11,35
