Licence Area,GSP,TANM,DANM,Status,Bus Number,Bus Name,Site ID,Application ID,Site Export Capacity (MW),Site Import Capacity (MW),Machine Export Capacity (MW),Machine Import Capacity (MW),Fuel type,Machine ID,Position
South Wales,Upper Boat,False,False,Accepted not yet Connected,2377,DOWW3G,210,1,15.0,15.0,15.0,,BESS,BA,0
South Wales,Upper Boat,False,False,Recently Connected,4210,WATT5G,473,1,2.6,0.0,2.6,,Wind,W1,0
South Wales,Upper Boat,False,False,Accepted not yet Connected,513001,PENC1_MAIN2,480,1,40.0,0.1,40.0,,Other,DA,21
South Wales,Upper Boat,True,False,Accepted not yet Connected,511401,ENER3_MAIN2,196,1,15.0,0.05,15.0,,Solar,PA,53
South Wales,Upper Boat,True,False,Accepted not yet Connected,523603,UPPB3_MAIN4,386,1,29.4,0.7,29.4,,Wind,WA,83
South Wales,Upper Boat,True,False,Recently Connected,4125,LADY5,24,1,3.0,0.04,3.0,,Wind,WA,109
South Wales,Upper Boat,False,False,Accepted not yet Connected,525025,UPPB1_MAIN1,460,1,49.9,0.1,65.8,,Solar,PA,110
South Wales,Upper Boat,True,False,Accepted not yet Connected,523601,UPPB3_MAIN2,402,1,20.0,0.09,20.0,,Solar,PA,114
South Wales,Upper Boat,False,True,Accepted not yet Connected,511501,DOWL3_MAIN2,477,1,29.4,0.2,29.4,,Wind,WA,160
South Wales,Upper Boat,True,False,Accepted not yet Connected,523602,UPPB3_MAIN3,262,1,38.7,0.3,38.7,,Solar,PA,200
South Wales,Upper Boat,True,False,Accepted not yet Connected,523602,UPPB3_MAIN3,438,1,24.6,0.36,27.0,,Wind,WA,243
South Wales,Upper Boat,True,False,Recently Connected,559204,COEL3N,605,1,5.1,0.05,5.1,,Solar,PA,265
South Wales,Upper Boat,True,False,Accepted not yet Connected,523600,UPPB3_MAIN1,373,1,6.0,0.02,6.0,,Wind,WA,489
South Wales,Upper Boat,True,False,Accepted not yet Connected,2406,TALB5G,545,1,7.2,0.05,7.2,,Solar,PA,1071
South Wales,Upper Boat,True,False,Accepted not yet Connected,525025,UPPB1_MAIN1,461,1,49.9,49.9,57.1,,BESS,BB,1611
South Wales,Upper Boat,False,True,Accepted not yet Connected,4215,ABTY5,511,1,7.5,0.05,5.0,,Solar,PA,1769
South Wales,Upper Boat,False,True,Accepted not yet Connected,4215,ABTY5,511,1,7.5,0.05,12.8,,Wind,WA,1769
South Wales,Upper Boat,True,False,Accepted not yet Connected,514032,TALB1_MAIN2,211,1,7.5,0.05,9.2,,Solar,PA,1782
South Wales,Upper Boat,True,False,Accepted not yet Connected,512405,NANW3_#2L5,588,1,18.0,0.2,18.0,,Wind,WA,1808
