From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
1172,1177,0,82U30_1,82LL53,,L1,132.0,132.0,Non-transformer branch,-145.866,43.759800000000006,Winter
1172,1177,0,82U30_1,82LL53,,L1,132.0,132.0,Non-transformer branch,-143.123,42.936899999999994,Intermediate Cool
1172,1177,0,82U30_1,82LL53,,L1,132.0,132.0,Non-transformer branch,-135.349,40.604699999999994,Intermediate Warm
1172,1177,0,82U30_1,82LL53,,L1,132.0,132.0,Non-transformer branch,-130.091,39.027300000000004,Summer
1175,1177,0,82U30_2,82LL53,,L2,132.0,132.0,Non-transformer branch,-145.866,43.759800000000006,Winter
1175,1177,0,82U30_2,82LL53,,L2,132.0,132.0,Non-transformer branch,-143.123,42.936899999999994,Intermediate Cool
1175,1177,0,82U30_2,82LL53,,L2,132.0,132.0,Non-transformer branch,-135.349,40.604699999999994,Intermediate Warm
1175,1177,0,82U30_2,82LL53,,L2,132.0,132.0,Non-transformer branch,-130.091,39.027300000000004,Summer
1177,5259,0,82LL53,OAKL1T,,L1,132.0,132.0,Non-transformer branch,-350.19035999793823,105.9018,Winter
1177,5259,0,82LL53,OAKL1T,,L1,132.0,132.0,Non-transformer branch,-342.93271374335643,103.707,Intermediate Cool
1177,5259,0,82LL53,OAKL1T,,L1,132.0,132.0,Non-transformer branch,-324.7876060830836,98.2197,Intermediate Warm
1177,5259,0,82LL53,OAKL1T,,L1,132.0,132.0,Non-transformer branch,-312.54008002252215,94.5159,Summer
2092,2097,0,D71A1,MYNB1M,,L1,132.0,132.0,Non-transformer branch,-103.57,63.962228414648415,Winter
2092,2097,0,D71A1,MYNB1M,,L1,132.0,132.0,Non-transformer branch,-101.283,62.54983470619712,Intermediate Cool
2092,2097,0,D71A1,MYNB1M,,L1,132.0,132.0,Non-transformer branch,-96.025,59.30262608396847,Intermediate Warm
2092,2097,0,D71A1,MYNB1M,,L1,132.0,132.0,Non-transformer branch,-92.367,57.0435372402803,Summer
2092,2371,0,D71A1,DOWL12,,L1,132.0,132.0,Non-transformer branch,-98.27698310095266,103.57,Winter
2092,2371,0,D71A1,DOWL12,,L1,132.0,132.0,Non-transformer branch,-96.10686182691695,101.283,Intermediate Cool
2092,2371,0,D71A1,DOWL12,,L1,132.0,132.0,Non-transformer branch,-91.11757557467395,96.025,Intermediate Warm
2092,2371,0,D71A1,DOWL12,,L1,132.0,132.0,Non-transformer branch,-87.64652020938202,92.367,Summer
2093,2370,0,DD641,DOWL11,,L1,132.0,132.0,Non-transformer branch,-94.12021797629879,103.57,Winter
2093,2370,0,DD641,DOWL11,,L1,132.0,132.0,Non-transformer branch,-92.0418850757311,101.283,Intermediate Cool
2093,2370,0,DD641,DOWL11,,L1,132.0,132.0,Non-transformer branch,-87.26362779930571,96.025,Intermediate Warm
2093,2370,0,DD641,DOWL11,,L1,132.0,132.0,Non-transformer branch,-83.93938566975757,92.367,Summer
2093,514701,0,DD641,MYNB1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-103.57,94.11709676330307,Winter
2093,514701,0,DD641,MYNB1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-101.283,92.0388327843741,Intermediate Cool
2093,514701,0,DD641,MYNB1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-96.025,87.26073396443158,Intermediate Warm
2093,514701,0,DD641,MYNB1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-92.367,83.93660207334185,Summer
2097,515102,0,MYNB1M,MOUA1_405,,L1,132.0,132.0,Non-transformer branch,-103.57,63.96488712484017,Winter
