From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Node Number,Node Name,Sensitivity Factor MW
1172,1177,0,82U30_1,82LL53,,L1,1171,82U30A_1,-0.4977
1172,1177,0,82U30_1,82LL53,,L1,1172,82U30_1,-0.4977
1172,1177,0,82U30_1,82LL53,,L1,1174,82U30A_2,0.4976
1172,1177,0,82U30_1,82LL53,,L1,1175,82U30_2,0.4976
1172,1177,0,82U30_1,82LL53,,L1,1177,82LL53,0.5
1172,1177,0,82U30_1,82LL53,,L1,5259,OAKL1T,0.5
1175,1177,0,82U30_2,82LL53,,L2,1171,82U30A_1,0.4975
1175,1177,0,82U30_2,82LL53,,L2,1172,82U30_1,0.4975
1175,1177,0,82U30_2,82LL53,,L2,1174,82U30A_2,-0.4977
1175,1177,0,82U30_2,82LL53,,L2,1175,82U30_2,-0.4977
1175,1177,0,82U30_2,82LL53,,L2,1177,82LL53,0.4999
1175,1177,0,82U30_2,82LL53,,L2,5259,OAKL1T,0.4999
1177,5259,0,82LL53,OAKL1T,,L1,5259,OAKL1T,1.0
2092,2097,0,D71A1,MYNB1M,,L1,2092,D71A1,-0.9042
2092,2097,0,D71A1,MYNB1M,,L1,2093,DD641,-0.1092
2092,2097,0,D71A1,MYNB1M,,L1,2097,MYNB1M,0.0946
2092,2097,0,D71A1,MYNB1M,,L1,2099,MYNB3G,-0.114
2092,2097,0,D71A1,MYNB1M,,L1,2370,DOWL11,-0.1634
2092,2097,0,D71A1,MYNB1M,,L1,2371,DOWL12,-0.8418
2092,2097,0,D71A1,MYNB1M,,L1,2374,DOWE3G,-0.4975
2092,2097,0,D71A1,MYNB1M,,L1,2377,DOWW3G,-0.4977
2092,2097,0,D71A1,MYNB1M,,L1,2379,PBRN3G,-0.4953
2092,2097,0,D71A1,MYNB1M,,L1,2382,82DD123AE,-0.0626
2092,2097,0,D71A1,MYNB1M,,L1,2395,MERE5,-0.5038
2092,2097,0,D71A1,MYNB1M,,L1,2396,MERE5G,-0.5038
2092,2097,0,D71A1,MYNB1M,,L1,2802,DOW_1T,-0.0295
2092,2097,0,D71A1,MYNB1M,,L1,4146,MASH5,0.0239
2092,2097,0,D71A1,MYNB1M,,L1,4147,MASH5G,0.0239
2092,2097,0,D71A1,MYNB1M,,L1,4168,ABAM3G,0.0242
2092,2097,0,D71A1,MYNB1M,,L1,4170,PHUR32,0.0241
2092,2097,0,D71A1,MYNB1M,,L1,4171,ABPK3G,0.0241
2092,2097,0,D71A1,MYNB1M,,L1,4183,55L7506P7,0.0233
2092,2097,0,D71A1,MYNB1M,,L1,4197,PHUT31,0.0242
2092,2097,0,D71A1,MYNB1M,,L1,4200,PHUT32,0.0242
2092,2097,0,D71A1,MYNB1M,,L1,4215,ABTY5,-0.4977
2092,2097,0,D71A1,MYNB1M,,L1,4227,NANW5,-0.4942
2092,2097,0,D71A1,MYNB1M,,L1,4228,NANW5G,-0.4942
2092,2097,0,D71A1,MYNB1M,,L1,4232,HNDF3G,-0.4857
2092,2097,0,D71A1,MYNB1M,,L1,4233,PENT5,-0.4973
2092,2097,0,D71A1,MYNB1M,,L1,4234,PENT5G,-0.4973
2092,2097,0,D71A1,MYNB1M,,L1,4239,SWRD5,-0.499
2092,2097,0,D71A1,MYNB1M,,L1,4240,SWRD5G,-0.499
2092,2097,0,D71A1,MYNB1M,,L1,4736,TCAT3G,-0.4948
2092,2097,0,D71A1,MYNB1M,,L1,5631,PENR3_3L9,0.0233
2092,2097,0,D71A1,MYNB1M,,L1,5632,54L7111P64,-0.4858
2092,2097,0,D71A1,MYNB1M,,L1,5633,LLFB3_1L9,-0.4858
2092,2097,0,D71A1,MYNB1M,,L1,5634,55L7313P32A,0.0242
2092,2097,0,D71A1,MYNB1M,,L1,5635,ABAM3_1L9,0.0242
2092,2097,0,D71A1,MYNB1M,,L1,5638,54L7111P94,-0.4858
2092,2097,0,D71A1,MYNB1M,,L1,5639,HNDF3_2L9,-0.4858
2092,2097,0,D71A1,MYNB1M,,L1,5640,55L7018P38,-0.4932
2092,2097,0,D71A1,MYNB1M,,L1,5641,55L7018P38A,-0.4933
2092,2097,0,D71A1,MYNB1M,,L1,5642,55L7018P46,-0.494
2092,2097,0,D71A1,MYNB1M,,L1,5644,55L7018P45,-0.4939
2092,2097,0,D71A1,MYNB1M,,L1,5645,NANW3_6L9,-0.4939
2092,2097,0,D71A1,MYNB1M,,L1,5646,55L7018P47,-0.4941
2092,2097,0,D71A1,MYNB1M,,L1,5647,DOWL3_4L9,-0.4941
2092,2097,0,D71A1,MYNB1M,,L1,5648,55L7018P59,-0.4951
2092,2097,0,D71A1,MYNB1M,,L1,5649,TCAT3_2L9,-0.4951
2092,2097,0,D71A1,MYNB1M,,L1,5650,55L7017P54,-0.4973
2092,2097,0,D71A1,MYNB1M,,L1,5651,PBRN3_4L9,-0.4973
2092,2097,0,D71A1,MYNB1M,,L1,5903,LLFB3_3L9,-0.4858
2092,2097,0,D71A1,MYNB1M,,L1,5904,55L7018P58,-0.495
2092,2097,0,D71A1,MYNB1M,,L1,5905,CBGD3_7L9,-0.495
2092,2097,0,D71A1,MYNB1M,,L1,5906,55L7018P60,-0.4953
2092,2097,0,D71A1,MYNB1M,,L1,5907,CPIT3_5L9,-0.4953
2092,2097,0,D71A1,MYNB1M,,L1,23751,DOWL91,-0.4997
2092,2097,0,D71A1,MYNB1M,,L1,23752,DOWL92,-0.4997
2092,2097,0,D71A1,MYNB1M,,L1,23951,MERE91,-0.5038
