Licence Area,GSP,TANM,DANM,Status,Bus Number,Bus Name,Site ID,Application ID,Site Export Capacity (MW),Site Import Capacity (MW),Machine Export Capacity (MW),Machine Import Capacity (MW),Fuel type,Machine ID,Position
South Wales,Uskmouth,False,False,Accepted not yet Connected,519503,SUDB3_MAIN2,551,1,20.0,0.0,20.0,,Solar,PA,0
South Wales,Uskmouth,False,False,Recently Connected,2488,TRST3G,595,1,24.15,0.0,24.15,,BESS,BA,0
South Wales,Uskmouth,False,False,Accepted not yet Connected,4674,NEWS5,451,1,20.0,3.5,20.0,,Other,JA,9
South Wales,Uskmouth,False,False,Accepted not yet Connected,523208,NEWW1_103,284,1,41.0,0.001,41.0,,Solar,PA,11
South Wales,Uskmouth,False,False,Accepted not yet Connected,522011,SUDB1_203,516,1,50.0,0.5,50.0,,Solar,PA,45
South Wales,Uskmouth,False,False,Accepted not yet Connected,4741,PBPV6T,483,1,20.0,0.9,20.0,,Solar,PA,51
South Wales,Uskmouth,False,False,Accepted not yet Connected,523001,MMEP11,435,1,74.0,10.0,55.9,,Wind,WA,62
South Wales,Uskmouth,False,False,Accepted not yet Connected,523001,MMEP11,435,1,74.0,10.0,25.0,,Solar,PA,62
South Wales,Uskmouth,False,False,Accepted not yet Connected,523211,NEWW1_203,622,1,36.0,0.1,36.0,,Solar,PA,89
South Wales,Uskmouth,False,False,Accepted not yet Connected,523800,LLTA1_&105,596,1,18.6,0.018,18.6,,Wind,WA,163
South Wales,Uskmouth,False,False,Accepted not yet Connected,522204,PANT1_205,67,1,48.0,0.2,48.0,,Wind,WA,247
South Wales,Uskmouth,False,False,Accepted not yet Connected,950503,USKM1_RES2,114,1,99.9,99.94,99.9,,Solar,PA,307
South Wales,Uskmouth,False,False,Accepted not yet Connected,2516,PANT5,41,1,2.7,0.0,2.7,,Solar,PA,371
South Wales,Uskmouth,False,False,Accepted not yet Connected,522201,PANT1_MAIN2,214,1,45.8,1.3,45.8,,Solar,PA,1740
South Wales,Uskmouth,False,False,Accepted not yet Connected,1124,RUSH5G,458,1,4.1,0.015,3.6,,Wind,WA,1767
South Wales,Uskmouth,False,False,Accepted not yet Connected,2534,NPND5G,81,1,7.6,10.0,3.0,,Solar,PA,1810
