From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Node Number,Node Name,Sensitivity Factor MW
2463,2472,0,CWBT11,LLTA1M,,L1,2463,CWBT11,-0.9713
2463,2472,0,CWBT11,LLTA1M,,L1,2464,CWBT12,-0.0266
2463,2472,0,CWBT11,LLTA1M,,L1,2465,CWMB5,-0.5
2463,2472,0,CWBT11,LLTA1M,,L1,2466,CWMB5G,-0.5
2463,2472,0,CWBT11,LLTA1M,,L1,2472,LLTA1M,0.0216
2463,2472,0,CWBT11,LLTA1M,,L1,4750,TREC1_MAIN2,-0.9713
2463,2472,0,CWBT11,LLTA1M,,L1,4751,TREC1M,-0.0266
2463,2472,0,CWBT11,LLTA1M,,L1,24651,CWMB91,-0.5
2463,2472,0,CWBT11,LLTA1M,,L1,24652,CWMB92,-0.5
2463,2472,0,CWBT11,LLTA1M,,L1,522800,CWMB1_&110,-0.9679
2463,2472,0,CWBT11,LLTA1M,,L1,522801,CWMB1_#110,-0.9679
2463,2472,0,CWBT11,LLTA1M,,L1,522802,CWMB1_103,-0.9679
2463,2472,0,CWBT11,LLTA1M,,L1,522803,CWMB1_&210,-0.0303
2463,2472,0,CWBT11,LLTA1M,,L1,522804,CWMB1_#210,-0.0303
2463,2472,0,CWBT11,LLTA1M,,L1,522805,CWMB1_203,-0.0303
2463,2472,0,CWBT11,LLTA1M,,L1,522900,CWMB5_1T0,-0.5
2463,2472,0,CWBT11,LLTA1M,,L1,522901,CWMB5_2T0,-0.5
2463,2472,0,CWBT11,LLTA1M,,L1,523001,MMEP11,-0.9713
2463,2472,0,CWBT11,LLTA1M,,L1,523002,MMEP12,-0.0266
2463,522802,0,CWBT11,CWMB1_103,,L1,2463,CWBT11,-0.0287
2463,522802,0,CWBT11,CWMB1_103,,L1,2464,CWBT12,0.0266
2463,522802,0,CWBT11,CWMB1_103,,L1,2465,CWMB5,0.5
2463,522802,0,CWBT11,CWMB1_103,,L1,2466,CWMB5G,0.5
2463,522802,0,CWBT11,CWMB1_103,,L1,2472,LLTA1M,-0.0216
2463,522802,0,CWBT11,CWMB1_103,,L1,4750,TREC1_MAIN2,-0.0287
2463,522802,0,CWBT11,CWMB1_103,,L1,4751,TREC1M,0.0266
2463,522802,0,CWBT11,CWMB1_103,,L1,24651,CWMB91,0.5
2463,522802,0,CWBT11,CWMB1_103,,L1,24652,CWMB92,0.5
2463,522802,0,CWBT11,CWMB1_103,,L1,522800,CWMB1_&110,0.9679
2463,522802,0,CWBT11,CWMB1_103,,L1,522801,CWMB1_#110,0.9679
2463,522802,0,CWBT11,CWMB1_103,,L1,522802,CWMB1_103,0.9679
2463,522802,0,CWBT11,CWMB1_103,,L1,522803,CWMB1_&210,0.0303
2463,522802,0,CWBT11,CWMB1_103,,L1,522804,CWMB1_#210,0.0303
2463,522802,0,CWBT11,CWMB1_103,,L1,522805,CWMB1_203,0.0303
2463,522802,0,CWBT11,CWMB1_103,,L1,522900,CWMB5_1T0,0.5
2463,522802,0,CWBT11,CWMB1_103,,L1,522901,CWMB5_2T0,0.5
2463,522802,0,CWBT11,CWMB1_103,,L1,523001,MMEP11,-0.0287
2463,522802,0,CWBT11,CWMB1_103,,L1,523002,MMEP12,0.0266
2463,523001,0,CWBT11,MMEP11,,L1,4750,TREC1_MAIN2,1.0
2463,523001,0,CWBT11,MMEP11,,L1,523001,MMEP11,1.0
2464,522805,0,CWBT12,CWMB1_203,,L1,2463,CWBT11,0.0287
2464,522805,0,CWBT12,CWMB1_203,,L1,2464,CWBT12,-0.0266
2464,522805,0,CWBT12,CWMB1_203,,L1,2465,CWMB5,0.502
2464,522805,0,CWBT12,CWMB1_203,,L1,2466,CWMB5G,0.502
2464,522805,0,CWBT12,CWMB1_203,,L1,2472,LLTA1M,0.0216
2464,522805,0,CWBT12,CWMB1_203,,L1,4750,TREC1_MAIN2,0.0287
2464,522805,0,CWBT12,CWMB1_203,,L1,4751,TREC1M,-0.0266
2464,522805,0,CWBT12,CWMB1_203,,L1,24651,CWMB91,0.502
2464,522805,0,CWBT12,CWMB1_203,,L1,24652,CWMB92,0.502
2464,522805,0,CWBT12,CWMB1_203,,L1,522800,CWMB1_&110,0.0323
2464,522805,0,CWBT12,CWMB1_203,,L1,522801,CWMB1_#110,0.0323
2464,522805,0,CWBT12,CWMB1_203,,L1,522802,CWMB1_103,0.0323
2464,522805,0,CWBT12,CWMB1_203,,L1,522803,CWMB1_&210,0.9698
2464,522805,0,CWBT12,CWMB1_203,,L1,522804,CWMB1_#210,0.9698
2464,522805,0,CWBT12,CWMB1_203,,L1,522805,CWMB1_203,0.9698
2464,522805,0,CWBT12,CWMB1_203,,L1,522900,CWMB5_1T0,0.502
2464,522805,0,CWBT12,CWMB1_203,,L1,522901,CWMB5_2T0,0.502
2464,522805,0,CWBT12,CWMB1_203,,L1,523001,MMEP11,0.0287
2464,522805,0,CWBT12,CWMB1_203,,L1,523002,MMEP12,-0.0266
2464,523002,0,CWBT12,MMEP12,,L1,4751,TREC1M,1.0
2464,523002,0,CWBT12,MMEP12,,L1,523002,MMEP12,1.0
2464,523805,0,CWBT12,LLTA1_205,,L1,2463,CWBT11,-0.0287
2464,523805,0,CWBT12,LLTA1_205,,L1,2464,CWBT12,-0.9734
2464,523805,0,CWBT12,LLTA1_205,,L1,2465,CWMB5,-0.502
2464,523805,0,CWBT12,LLTA1_205,,L1,2466,CWMB5G,-0.502
2464,523805,0,CWBT12,LLTA1_205,,L1,2472,LLTA1M,-0.0216
2464,523805,0,CWBT12,LLTA1_205,,L1,4750,TREC1_MAIN2,-0.0287
2464,523805,0,CWBT12,LLTA1_205,,L1,4751,TREC1M,-0.9734
2464,523805,0,CWBT12,LLTA1_205,,L1,24651,CWMB91,-0.502
2464,523805,0,CWBT12,LLTA1_205,,L1,24652,CWMB92,-0.502
2464,523805,0,CWBT12,LLTA1_205,,L1,522800,CWMB1_&110,-0.0323
2464,523805,0,CWBT12,LLTA1_205,,L1,522801,CWMB1_#110,-0.0323
2464,523805,0,CWBT12,LLTA1_205,,L1,522802,CWMB1_103,-0.0323
2464,523805,0,CWBT12,LLTA1_205,,L1,522803,CWMB1_&210,-0.9698
2464,523805,0,CWBT12,LLTA1_205,,L1,522804,CWMB1_#210,-0.9698
2464,523805,0,CWBT12,LLTA1_205,,L1,522805,CWMB1_203,-0.9698
2464,523805,0,CWBT12,LLTA1_205,,L1,522900,CWMB5_1T0,-0.502
2464,523805,0,CWBT12,LLTA1_205,,L1,522901,CWMB5_2T0,-0.502
2464,523805,0,CWBT12,LLTA1_205,,L1,523001,MMEP11,-0.0287
2464,523805,0,CWBT12,LLTA1_205,,L1,523002,MMEP12,-0.9734
