GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Uskmouth,950623,950529,95720,USKM2_SGT1,USKM1_SGT1,USKM8A,S1,Winter,-240.5,192.3,,
Uskmouth,950623,950529,95720,USKM2_SGT1,USKM1_SGT1,USKM8A,S1,Intermediate Cool,-196.7,192.3,,
Uskmouth,950623,950529,95720,USKM2_SGT1,USKM1_SGT1,USKM8A,S1,Intermediate Warm,-196.7,192.3,,
Uskmouth,950623,950529,95720,USKM2_SGT1,USKM1_SGT1,USKM8A,S1,Summer,-188.7,192.3,,
Uskmouth,950624,950531,95721,USKM2_H23A,USKM1_SGT2A,USKM8B,2A,Winter,-240.5,192.3,,
Uskmouth,950624,950531,95721,USKM2_H23A,USKM1_SGT2A,USKM8B,2A,Intermediate Cool,-196.7,192.3,,
Uskmouth,950624,950531,95721,USKM2_H23A,USKM1_SGT2A,USKM8B,2A,Intermediate Warm,-196.7,192.3,,
Uskmouth,950624,950531,95721,USKM2_H23A,USKM1_SGT2A,USKM8B,2A,Summer,-188.7,192.3,,
Uskmouth,950628,950532,95722,USKM2_H43A,USKM1_SGT4A,USKM8C,4A,Winter,-240.5,192.3,,
Uskmouth,950628,950532,95722,USKM2_H43A,USKM1_SGT4A,USKM8C,4A,Intermediate Cool,-196.7,192.3,,
Uskmouth,950628,950532,95722,USKM2_H43A,USKM1_SGT4A,USKM8C,4A,Intermediate Warm,-196.7,192.3,,
Uskmouth,950628,950532,95722,USKM2_H43A,USKM1_SGT4A,USKM8C,4A,Summer,-188.7,192.3,,
